"func.name","true_x","true_y","lin_extrap_x","lin_extrap_y","tpt","min_x","min_y","max_x","max_y","forced_choice_tpt"
"spiral_outward",0.541974877344686,0.510157488536894,0.583292108671467,0.531027379614752,5,0,0,1,0.75,14
"square_2",0.636404983663141,0.43909665940584,0.636404983663141,0.43909665940584,5,0,0,1,0.75,13
"square_spiral",0.356943510346677,0.179165265520016,0.356943510346677,0.179165265520016,5,0,0,1,0.75,9
"stairs",0.654201535314768,0.253435449795211,0.618998351961034,0.21468599216864,5,0,0,1,0.75,14
"stairs_2",0.372266195805521,0.224893849074054,0.372266195805521,0.224893849074054,5,0,0,1,0.75,12
"triangle_1",0.5,0.487095329246886,0.791232208320151,0.318952335376557,5,0,0,1,0.75,14
"zigzag_1",0.644700076116707,0.359420004881398,0.656526345544351,0.499426674995815,5,0,0,1,0.75,13
"zigzag_2",0.646162106544871,0.309061488984996,0.646162106544871,0.309061488984996,5,0,0,1,0.75,13
"zigzag_3",0.605335374971332,0.250852599634628,0.565689095982445,0.200789193848317,5,0,0,1,0.75,13
"zigzag_widening",0.530532097473651,0.460471962681744,0.624890905928427,0.360489337430533,5,0,0,1,0.75,14
"123",0.439453125,0.390625,0.341796875,0.09765625,6,0,0,1,0.75,14
"3_pts",0.402922597226616,0.375,0.694154805546768,0.375,6,0,0,1,0.75,12
"alternating_diff_1",0.397822453399464,0.405377108448808,0.339829791815376,0.463369770032897,6,0,0,1,0.75,14
"alternating_diff_2",0.384014676831824,0.38880777656764,0.384014676831824,0.38880777656764,6,0,0,1,0.75,11
"decreasing_y",0.340169270833333,0.247395833333333,0.340169270833333,0.494791666666667,6,0,0,1,0.75,14
"f_curly_2",0.617547330147846,0.550010866556686,0.740956537826036,0.545913990065636,6,0,0,1,0.75,14
"hexagon",0.393691435217454,0.222891092427007,0.1995627517015,0.222891092427007,6,0,0,1,0.75,14
"hourglass_1",0.434294192639461,0.447276388096593,0.710258583553725,0.309294192639461,6,0,0,1,0.75,14
"increasing_lines",0.421334540130123,0.359266908026025,0.562932367895902,0.312067632104098,6,0,0,1,0.75,10
"plus",0.486133665463146,0.374506448960712,0.777326690737069,0.384871020785751,6,0,0,1,0.75,12
"radial_1",0.508042498246381,0.359030830288603,0.798140463070543,0.61778074214985,6,0,0,1,0.75,13
"radial_increasing",0.519761366268012,0.349525372210911,0.412184920139678,0.320424434916357,6,0,0,1,0.75,9
"sine",0.384014676831824,0.346558959933902,0.384014676831824,0.26986680623516,6,0,0,1,0.75,12
"spiral_outward",0.456367778125349,0.510157488536894,0.479013424519608,0.555901661639316,6,0,0,1,0.75,14
"square_2",0.636404983663141,0.584078313366061,0.636404983663141,0.584078313366061,6,0,0,1,0.75,13
"square_spiral",0.494676081608887,0.179165265520016,0.356943510346677,0.0414326942578067,6,0,0,1,0.75,9
"stairs",0.607603612845856,0.260403364517609,0.64280679619959,0.299152822144181,6,0,0,1,0.75,14
"stairs_2",0.377115536925527,0.303583930377032,0.41161123645701,0.222469178514051,6,0,0,1,0.75,12
"triangle_1",0.402922597226616,0.318952335376557,0.402922597226617,0.655238323117214,6,0,0,1,0.75,14
"zigzag_1",0.609790610610841,0.291865970418793,0.609790610610841,0.291865970418793,6,0,0,1,0.75,13
"zigzag_2",0.598986805949226,0.241913776016551,0.598986805949226,0.241913776016551,6,0,0,1,0.75,13
"zigzag_3",0.60012681157262,0.295707442022227,0.60012681157262,0.295707442022227,6,0,0,1,0.75,13
"zigzag_widening",0.574274617123377,0.390557617421646,0.468814772379803,0.502302904467117,6,0,0,1,0.75,14
"123",0.537109375,0.390625,0.537109375,0.5859375,7,0,0,1,0.75,14
"3_pts",0.5,0.375,0.208767791679848,0.375,7,0,0,1,0.75,12
"alternating_diff_1",0.397822453399464,0.34738444686472,0.455815114983552,0.405377108448808,7,0,0,1,0.75,14
"alternating_diff_2",0.413011007623868,0.330815114983552,0.413011007623868,0.38880777656764,7,0,0,1,0.75,11
"decreasing_y",0.402018229166667,0.247395833333333,0.37109375,0.123697916666667,7,0,0,1,0.75,14
"f_curly_2",0.493337427043184,0.499219269309695,0.536138982727005,0.615040872509557,7,0,0,1,0.75,14
"hexagon",0.587820118733407,0.222891092427007,0.49075577697543,0.0547707208989618,7,0,0,1,0.75,14
"hourglass_1",0.572276388096593,0.447276388096593,0.296311997182329,0.585258583553725,7,0,0,1,0.75,14
"increasing_lines",0.468533816052049,0.359266908026025,0.326935988286271,0.406466183947951,7,0,0,1,0.75,10
"plus",0.482678808188133,0.471570790718687,0.292004981947197,0.367596734410687,7,0,0,1,0.75,12
"radial_1",0.568971123843013,0.543597319944055,0.3629935158343,0.22965587435798,7,0,0,1,0.75,13
"radial_increasing",0.549803443323422,0.37413067422539,0.549803443323422,0.37413067422539,7,0,0,1,0.75,9
"sine",0.413011007623868,0.428015634803671,0.413011007623868,0.405668743709262,7,0,0,1,0.75,12
"spiral_outward",0.380814034735256,0.455264480813988,0.370760678906013,0.510157488536894,7,0,0,1,0.75,14
"square_2",0.49142332970292,0.584078313366061,0.636404983663141,0.729059967326282,7,0,0,1,0.75,13
"square_spiral",0.632408652871097,0.179165265520016,0.632408652871097,0.179165265520016,7,0,0,1,0.75,9
"stairs",0.596208873730678,0.306120736866579,0.561005690376945,0.267371279240007,7,0,0,1,0.75,14
"stairs_2",0.416460577577016,0.301159259817029,0.381964878045534,0.38227401168001,7,0,0,1,0.75,12
