"func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sd_x","sd_y"
"flip_angle()",-3.58763023575981,2.17113833395578,4,26,0,73.1812634162831,62.5774136508586,-26.781481125843,"line",35.6523641283612,85.1106733156175,1,24.7,1,0.0321093875366213,0.0224737384415317
"change_speed(real(1.9236544446077266))",3.1465198302777,0.374954566860121,5,26,0,54.4318278260257,59.9540351601625,-27.5398700607493,"line",115.437979512059,81.4555199116411,1,24.7,1,0.0206907066080349,0.0234696531227438
"flip_angle()",-0.0462025970796817,0.0022458666766902,6,26,0,119.561013876806,134.549438710872,-24.214658984136,"line",103.729040813693,57.0489779527609,1,24.7,1,0.0147275723332235,0.018720233465206
"change_speed(round(int(6)))",0.387752503206183,5.45808389428924,7,26,0,94.4692756192699,62.3301555217341,-31.6953027582005,"line",127.174147344019,74.9212879891813,1,24.7,1,0.0149634394335839,0.0240007281227465
"flip_angle()",-0.345081053460171,1.49266925379373,8,26,0,107.132431411925,137.049083641993,-23.9490909189098,"line",82.66162999026,82.6869026317707,1,24.7,1,0.0174286471227661,0.015407057734108
"change_x(real(1.0661839742794013))",1.76298322148316,0.903018877402544,9,26,0,113.137597073095,120.608615967523,-26.9983155738401,"line",60.7270919621614,94.2617381268207,1,24.7,1,0.0197870669151144,0.0153822282476337
"move_x(real(1.4819859406041171))",0.382979125755338,0.73561561323051,10,28.4306376658644,0.68281540835716,131.415358291768,103.576103082209,-29.4444863992569,"line",62.4239142837839,116.742337287076,1,24.7,1,0.0181082957744041,0.0149153058857477
"flip_angle()",-1.97792664631037,0.634355290198854,11,26,0,120.589890191738,90.6317974372836,-23.4006046730353,"line",119.663744869191,109.242244619259,1,24.7,1,0.0136533554008326,0.016483162337942
"change_x(plus(int(9), int(1)))",-1.34732305638905,0.324535579776096,12,26,0,66.9670299899994,109.824252564499,-34.8345997915438,"line",80.9470532082578,108.727996748894,1,24.7,1,0.022276404699612,0.0150091576278569
"change_x(int(19))",-1.58751282260625,0.755410610454031,13,26,0,98.7024231400505,88.3064518895558,-33.1140536621012,"line",227.846504309015,71.1511198891522,1,24.7,1,0.0109368195773825,0.0206913607334063
"move_ts(real(-4.003849553784056), real(1.702411015806103))",1.34516852197628,1.91873104742731,14,28.7921106223553,-0.0168837216240559,51.8647880694667,101.531901711232,-34.5738211199917,"line",60.5480500674067,117.975454475393,1,24.7,1,0.0292677782233051,0.014985769562899
"continue(change_angle(negative(real(-4.523352435614966))))",-0.302174405804214,2.15131672315538,15,26,0,75.7082393957931,95.1469081764225,-34.0824498291039,"line",114.39463030843,95.8767967871778,1,24.7,1,0.0176238889280139,0.0171720459471536
"change_angle(divide(round(var_c()), int(17)))",-1.4667851683853,1.20316184837974,16,26,0,61.8327339873059,93.7737267199777,-39.7966057074361,"line",158.179706091168,88.499560195311,1,24.7,1,0.0165840856887748,0.0180038338275972
"change_angle(round(real(-5.661965931139033)))",0.443647227677439,0.285882863170201,17,26,0,85.4453082016806,107.265545193479,-29.8831442068719,"line",57.6967161087339,79.3198115729677,1,24.7,1,0.0233591202304524,0.0177809590119773
"change_speed(round(negative(minus(real(-0.8259525815532673), real(1.3048510975868872)))))",-0.203499432149475,1.79329199847076,18,26,0,128.357402070614,168.552473550164,-42.1685056690276,"line",69.1395561729403,104.113095849424,1,24.7,1,0.0174101449576544,0.0123810048736871
"move()",3.09121186891259,1.37989100192901,19,26.3231508363056,-2.24000007224899,89.5665486076464,132.407254967274,-25.6472431713401,"line",94.2289036510266,97.2131459750966,1,24.7,1,0.0178529977928789,0.0144563199017542
"change_x(round(plus(int(15), real(-0.5706447684578997))))",-1.42666576851176,0.856976602779529,20,26,0,67.719132640245,110.19233397685,-37.089725913021,"line",118.832421419608,80.7305535019562,1,24.7,1,0.018283232126677,0.0173892753354543
"move_ts(minus(real(6.043515895342694), divide(int(7), real(-4.365500771243244))), round(real(-0.41274226362129995)))",-3.09362269549071,2.41807716459718,1,23.3056234489862,1.86354735480045,119.823786061114,78.1091285558686,-53.1115449168607,"line",180.544170724198,106.711394113423,2,23.4,2,0.0121901454075234,0.0202004897670563
"move_s(var_c())",1.54192364726228,10.4826020917737,2,22.2329092127082,3.16181938358868,154.130097842533,74.8540403956966,-32.7601105989171,"line",109.395277936977,91.5171448483563,2,23.4,2,0.0133755649792332,0.0206425287445336
"move_ts(real(-6.348708454029178), var_c())",0.577452680938686,3.69853901218826,3,21.8996609353176,2.70824504179395,83.8844620202177,95.7136787914084,-36.2346103230321,"line",91.5846738085292,35.7984033291021,2,23.4,2,0.0200680323001258,0.0326710289259505
