changepoints,func,init_angle,init_speed,particle,pred_x,pred_y,scale_x,scale_y,score,seq_id,shape_x,shape_y,tpt,true_x,true_y,sampled_sd_x,sampled_sd_y,sd_x,sd_y
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.6563491451102186,4.376200723315392,16,28.389015096569498,-5.156924132274945,16.223886660021236,19.8921316758796,-21.31827792871652,line,57.38593285758974,62.093286517310055,2,23.400000000000006,2.0000000000000004,0.7655320256193107,1.0518825160619936,0.46675311379515605,0.6413440891926467
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",3.4434118475316167,0.5279934446041229,17,25.25556039918561,0.3357237160242839,19.91408206241388,5.2468426412206,-18.76506552797331,line,90.32630867287008,66.03936769711922,2,23.400000000000006,2.0000000000000004,0.23449483470579113,0.2769738733968701,0.14297402408379076,0.168873951084292
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.316981491713582,0.8511523886517884,18,23.473506395240346,1.6667172437452182,32.31025628941745,36.51447073761174,-19.57843041460599,line,60.32587243179566,77.1070513444874,2,23.400000000000006,2.0000000000000004,0.06165557042231829,0.06692223768898337,0.03759206475281347,0.040803208459114004
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.5683164165052705,0.4943265794775791,19,24.19140930033044,1.63139574271486,51.42134969602866,33.59962874250736,-20.97946072321451,line,34.59029467292769,57.748357083705,2,23.400000000000006,2.0000000000000004,0.16738356050240463,0.08267186960160433,0.10205555802765164,0.050405928515660725
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.2451167969175296,0.1722191366999258,20,24.593911943754215,0.7382191874204004,60.28470466522438,21.776241881022816,-20.80449928276772,line,75.0405727438082,30.597259111663448,2,23.400000000000006,2.0000000000000004,0.16422144303650674,0.2820386002898131,0.10012758098162293,0.1719619695716842
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.559889619141358,0.7847158705195234,1,22.579444450410374,2.9915311861788743,18.14999954508906,41.91597967569388,-20.89820209953645,line,31.935457468056388,31.619705826805845,3,22.10000000000001,3.0000000000000004,0.1477276951486083,0.0733327538080505,0.09007116540762938,0.044711769119509644
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.2523070331623831,0.5878984856797353,2,23.027781164651984,2.8894849025541354,0.5003748430033822,89.86775792268472,-25.80723632038918,line,55.10339366021577,46.819609165448576,3,22.10000000000001,3.0000000000000004,0.5300018918330542,0.04526327086120346,0.32314785672130786,0.027597503315330067
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.738206124568995,0.9854945829176796,3,21.918419182932706,2.6460999410004913,17.154668558315528,56.328133246045134,-22.782784375059595,line,23.514942067113715,51.05738818485938,3,22.10000000000001,3.0000000000000004,0.13932455369900018,0.07588797359100846,0.08494767964086121,0.046269714117515126
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.939793258435046,0.7257622936858725,4,22.21498054029004,2.112405603806106,12.074085788542252,18.59047978829608,-20.14873369414468,line,74.1766715117986,50.46875407157616,3,22.10000000000001,3.0000000000000004,0.09090373968012087,0.16860140364097445,0.05542498828444887,0.10279809009426462
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.493255210168077,0.9194602569014076,5,22.322426476144553,3.054978943819631,41.625744374723546,39.333399007825584,-21.705814170113477,line,86.23546957335043,28.46966702281601,3,22.10000000000001,3.0000000000000004,0.052644127277914295,0.08056497269536873,0.03209769089688517,0.049121330799927955
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.5818177397102526,1.3494829605726484,6,22.048441681640178,3.752729463958595,47.212832269833314,5.603435635032557,-20.52994094804308,line,64.47333977327501,78.87573244850303,3,22.10000000000001,3.0000000000000004,0.04913173044403676,0.16084143772083992,0.029956144750895645,0.09806675536893171
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.2126461979646823,1.5903649993917417,7,22.544845958329358,4.464228723391004,12.459669428728033,5.06460853470535,-21.430972819548312,line,32.92852057728524,52.71975455253815,3,22.10000000000001,3.0000000000000004,0.15917061241543262,0.28465753193028415,0.0970480352007249,0.17355876037480913
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.4872841232338398,0.7967405836537368,8,22.494626373795597,2.9422837401905526,37.96086932521956,6.183448922486081,-20.382449571877483,line,62.0263441419909,87.79746314146983,3,22.10000000000001,3.0000000000000004,0.07999082231506174,0.11534335240828279,0.04877126513470884,0.0703260831558083
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.6600349062221165,1.5396808279431218,9,21.226328393778868,3.285344941256955,7.985943261794698,17.77024542359288,-19.63186120121729,line,67.38172884655509,77.08576103859968,3,22.10000000000001,3.0000000000000004,0.16873723687827694,0.0816083666670029,0.102880909080729,0.049757499332239004
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.7655180483119235,0.6508688932803659,10,22.404090680494477,2.384356836816593,18.2323131824026,21.83583381653021,-21.87721421582068,line,49.31719467482477,122.4461691333456,3,22.10000000000001,3.0000000000000004,0.10229073428237351,0.08271471047244953,0.062367761427179653,0.05043204905561922
