"","func.type","tpt","subj","r_id","x_pred","y_pred","x_next","y_next","motor_sd","prob_true","prob_rand","prob_lin","prob_prev","group"
"562","f_curly_2",12,"0452j5o1mj","0452j5o1mj",0.504967829361138,0.471827416418404,0.382530545447871,0.388809694971706,0.0274085656518141,8.04078865637319e-07,0.00178674962851745,0.00540571112792844,0.992806735164688,"kids"
"563","f_curly_2",13,"0452j5o1mj","0452j5o1mj",0.362630854849388,0.382453037073816,0.35124348035719,0.261111164527389,0.0274085656518141,1.13370355119922e-05,0.000994933940845104,0.000115324903123861,0.998878404120519,"kids"
"564","f_curly_2",14,"0452j5o1mj","0452j5o1mj",0.375043963091691,0.240116062562065,0.425734355154999,0.197112275916355,0.0274085656518141,0.00379746856827492,0.00147990528938325,6.58524815317033e-05,0.99465677366081,"kids"
"565","spiral_outward",3,"0452j5o1mj","0452j5o1mj",0.646477263323403,0.342731090698444,0.626580551668059,0.397799251254192,0.0274085656518141,0.0125638387512766,0.0015752440945683,0.242569770802535,0.74329114635162,"kids"
"566","spiral_outward",4,"0452j5o1mj","0452j5o1mj",0.624133668487256,0.447001199933797,0.604936330169763,0.464413315434472,0.0274085656518141,0.0843054061840465,0.00207964872065701,0.363275604947646,0.55033934014765,"kids"
"567","spiral_outward",5,"0452j5o1mj","0452j5o1mj",0.580274019364449,0.504101497848394,0.541974877344686,0.510157488536894,0.0274085656518141,0.0508791080774485,0.00203257203682334,0.321159553188944,0.625928766696784,"kids"
"568","spiral_outward",6,"0452j5o1mj","0452j5o1mj",0.527311424197286,0.543823444223767,0.456367778125349,0.510157488536894,0.0274085656518141,0.00261376257190151,0.00171697600701352,0.0838362977126703,0.911832963708415,"kids"
"569","spiral_outward",7,"0452j5o1mj","0452j5o1mj",0.441247207050646,0.473482497517378,0.380814034735256,0.455264480813988,0.0274085656518141,0.0116870040196535,0.00217948789629295,0.00829508407819598,0.977838424005858,"kids"
"570","spiral_outward",8,"0452j5o1mj","0452j5o1mj",0.375871503641178,0.411416956305859,0.349550159237718,0.359044165886916,0.0274085656518141,0.0201294744720077,0.00278404804566991,0.0224122203639699,0.954674257118353,"kids"
"571","spiral_outward",9,"0452j5o1mj","0452j5o1mj",0.356010530453492,0.303009144323072,0.383218948235066,0.255422288273147,0.0274085656518141,0.0462309760749208,0.00546455412958347,0.169809202608588,0.778495267186908,"kids"
"572","spiral_outward",10,"0452j5o1mj","0452j5o1mj",0.408973125620655,0.245081305858987,0.477661127472683,0.186806028619514,0.0274085656518141,0.000702939184095626,0.00125446937974814,0.00119260067199886,0.996849990764157,"kids"
"573","spiral_outward",11,"0452j5o1mj","0452j5o1mj",0.507450451009599,0.207841981132075,0.60218054451899,0.186806028619514,0.0274085656518141,0.000476510812771341,0.00186634135563032,0.000241681716836669,0.997415466114762,"kids"
"574","spiral_outward",12,"0452j5o1mj","0452j5o1mj",0.634064155081099,0.193773791790798,0.709215014321622,0.264571122893632,0.0274085656518141,0.000220887001816977,0.00154467752501791,0.00152889840378223,0.996705537069383,"kids"
"575","spiral_outward",13,"0452j5o1mj","0452j5o1mj",0.741644426514399,0.296388819927176,0.752503457318215,0.397799251254192,0.0274085656518141,0.000414981612837357,0.00315097212975712,0.00489279851634683,0.991541247741059,"kids"
"576","spiral_outward",14,"0452j5o1mj","0452j5o1mj",0.743299507613373,0.45693168652764,0.706810100821812,0.53842894230145,0.0274085656518141,0.00357517199157926,0.00958287934521721,0.00872440227147514,0.978117546391728,"kids"
"577","stairs_2",3,"0452j5o1mj","0452j5o1mj",0.322908908474016,0.157362007613374,0.293576114502543,0.229743190194061,0.0274085656518141,0.00917351642372964,0.00115933455021892,0.289263193092317,0.700403955933734,"kids"
"578","stairs_2",4,"0452j5o1mj","0452j5o1mj",0.293117448692486,0.285630792783847,0.332921155154032,0.227318519634058,0.0274085656518141,0.0341681569800676,0.00283720755748564,0.486646174694453,0.476348460767994,"kids"
"579","stairs_2",5,"0452j5o1mj","0452j5o1mj",0.396560017378352,0.226047873220788,0.372266195805521,0.224893849074055,0.0274085656518141,0.286090041957023,0.00268970434017628,0.446303953186765,0.264916300516036,"kids"
"580","stairs_2",6,"0452j5o1mj","0452j5o1mj",0.423041314961934,0.227702954319763,0.377115536925528,0.303583930377033,0.0274085656518141,0.00640231474896445,0.00211666490781976,0.476959040217958,0.514521980125258,"kids"
"581","stairs_2",7,"0452j5o1mj","0452j5o1mj",0.370906260344258,0.360936982787158,0.416460577577017,0.30115925981703,0.0274085656518141,0.0259419327099541,0.00310167013192023,0.514130279585955,0.456826117572171,"kids"
"582","stairs_2",8,"0452j5o1mj","0452j5o1mj",0.454487855842437,0.312112090367429,0.455805618228505,0.298734589257026,0.0274085656518141,0.20094802447006,0.00110477235126426,0.265024992755533,0.532922210423142,"kids"
