"","func.type","tpt","r_id","x_pred","y_pred","x_next","y_next","motor_sd","prob_true","prob_rand","prob_prev","group","guess_num"
"4745","zigzag_1",7,"ak2g4wy9vp",0.573724940630694,0.340618441762856,0.586707414532618,0.364318606070608,0.0117873747833808,0.999701076092833,0.000275068242335792,2.38556648309279e-05,"adults",5
"4746","zigzag_1",8,"ak2g4wy9vp",0.569582896117522,0.394465020434088,0.563624218454396,0.436771241722421,0.0117873747833808,0.313734984105999,0.00116190297282244,0.685103112921178,"adults",6
"4747","zigzag_1",9,"ak2g4wy9vp",0.526505633180536,0.391979793726185,0.52871475294853,0.369217207259816,0.0117873747833808,0.999840706813859,0.000127170743042157,3.21224430985231e-05,"adults",7
"4748","zigzag_1",10,"ak2g4wy9vp",0.503310183906775,0.318251401391728,0.493805287442664,0.301663172797212,0.0117873747833808,0.999898816345862,7.0765891493131e-05,3.04177626449913e-05,"adults",8
"4749","zigzag_1",11,"ak2g4wy9vp",0.462718147677692,0.338961623957587,0.470722091364443,0.374115808449025,0.0117873747833808,0.982817421562429,0.00191230948041312,0.015270268957158,"adults",9
"4750","zigzag_1",12,"ak2g4wy9vp",0.448635196332908,0.420145696415753,0.447638895286221,0.446568444100838,0.0117873747833808,0.998896830503322,0.000239973748276734,0.00086319574840163,"adults",10
"4751","zigzag_1",13,"ak2g4wy9vp",0.404729524493288,0.376240024576132,0.412729429780355,0.379014409638234,0.0117873747833808,0.999976184504884,2.38153759623905e-05,1.19153140279493e-10,"adults",11
"4752","zigzag_1",14,"ak2g4wy9vp",0.390646573148504,0.326535490418072,0.377819964274489,0.31146037517563,0.0117873747833808,0.999888569752559,7.80230746524103e-05,3.34071727883451e-05,"adults",12
"4753","zigzag_2",3,"ak2g4wy9vp",0.739406721157563,0.411033198486773,0.74051270773616,0.443356914921886,0.0117873747833808,0.999122756172983,0.000163339963341805,0.000713903863675612,"adults",1
"4754","zigzag_2",4,"ak2g4wy9vp",0.71786808968907,0.502986586679185,0.693337407140516,0.376209201953441,0.0117873747833808,1.93572972790414e-16,0.908507311061627,0.091492688938373,"adults",2
"4755","zigzag_2",5,"ak2g4wy9vp",0.644968106257248,0.32653549041807,0.646162106544871,0.309061488984995,0.0117873747833808,0.99998930210529,1.06578679541903e-05,4.00267556947534e-08,"adults",3
"4756","zigzag_2",6,"ak2g4wy9vp",0.612660159054509,0.249493462473076,0.598986805949226,0.24191377601655,0.0117873747833808,0.999991456924822,8.49247045273187e-06,5.06047254456784e-08,"adults",4
"4757","zigzag_2",7,"ak2g4wy9vp",0.560470398188546,0.312452539073287,0.584864177723765,0.3227523541534,0.0117873747833808,0.999954637996763,4.53612088818128e-05,7.94355587118714e-10,"adults",5
"4758","zigzag_2",8,"ak2g4wy9vp",0.56129880709118,0.387837749213011,0.570741549498303,0.403590932290249,0.0117873747833808,0.99998803859438,1.1915070395169e-05,4.63352253496787e-08,"adults",6
"4759","zigzag_2",9,"ak2g4wy9vp",0.553014718064837,0.459909323742199,0.556618921272842,0.4844295104271,0.0117873747833808,0.999959263083452,3.29070886676926e-05,7.82982788004452e-06,"adults",7
"4760","zigzag_2",10,"ak2g4wy9vp",0.480114734633015,0.401920700557795,0.509443620677197,0.417281797458654,0.0117873747833808,0.999802564098551,0.000197435901448832,3.5940049324222e-17,"adults",8
"4761","zigzag_2",11,"ak2g4wy9vp",0.437037471696029,0.337304806152316,0.462268320081552,0.350134084490209,0.0117873747833808,0.99993428619477,6.57138052296612e-05,2.76679719650762e-16,"adults",9
"4762","zigzag_2",12,"ak2g4wy9vp",0.409699977909096,0.275174138454741,0.415093019485908,0.282986371521763,0.0117873747833808,0.999995148077907,4.85192168532054e-06,4.07333760510975e-13,"adults",10
"4763","zigzag_2",13,"ak2g4wy9vp",0.365794306069476,0.360500255426078,0.400970391260446,0.363824949658614,0.0117873747833808,0.999650257961349,0.000349742028173558,1.04779274532242e-11,"adults",11
"4764","zigzag_2",14,"ak2g4wy9vp",0.384019301927431,0.425944558734191,0.386847763034985,0.444663527795463,0.0117873747833808,0.999986741233183,1.28681606221818e-05,3.90606195265947e-07,"adults",12
"4765","zigzag_3",3,"ak2g4wy9vp",0.640826061744077,0.206416199536092,0.655398780757643,0.211206320645741,0.0117873747833808,0.999965135815385,2.98595582846535e-05,5.00462633049941e-06,"adults",1
"4766","zigzag_3",4,"ak2g4wy9vp",0.586979483072844,0.193161657093942,0.610543938370044,0.205997757247029,0.0117873747833808,0.999823191811657,0.000176524753549815,2.83434793582323e-07,"adults",2
"4767","zigzag_3",5,"ak2g4wy9vp",0.537274948914784,0.185705976970233,0.605335374971331,0.250852599634629,0.0117873747833808,2.21179578940869e-07,0.998934349131866,0.00106542968855539,"adults",3
"4768","zigzag_3",6,"ak2g4wy9vp",0.59940561661236,0.288428680896891,0.600126811572619,0.295707442022228,0.0117873747833808,0.995760150434308,1.52905867356836e-05,0.0042245589789568,"adults",4
"4769","zigzag_3",7,"ak2g4wy9vp",0.59194993648865,0.329020717125974,0.594918248173907,0.340562284409828,0.0117873747833808,0.98545169729242,2.05138710257286e-05,0.0145277888365541,"adults",5
"4770","zigzag_3",8,"ak2g4wy9vp",0.59194993648865,0.377068433478766,0.589709684775195,0.385417126797427,0.0117873747833808,0.99344149298789,1.64082402560755e-05,0.00654209877185388,"adults",6
"4771","zigzag_3",9,"ak2g4wy9vp",0.581180620754404,0.430086603247364,0.544854842387595,0.380208563398715,0.0117873747833808,0.00653636195881609,0.0396192885434706,0.953844349497713,"adults",7
"4772","zigzag_3",10,"ak2g4wy9vp",0.481771552438283,0.370441162257691,0.499999999999996,0.375000000000003,0.0117873747833808,0.999952418490221,4.58441607855329e-05,1.73734899382854e-06,"adults",8
"4773","zigzag_3",11,"ak2g4wy9vp",0.429581791572319,0.360500255426079,0.455145157612396,0.369791436601291,0.0117873747833808,0.9998099082869,0.000189911455375773,1.80257724620562e-07,"adults",9
"4774","zigzag_3",12,"ak2g4wy9vp",0.380705666316893,0.350559348594467,0.410290315224797,0.364582873202578,0.0117873747833808,0.999347162213902,0.000652788390054786,4.93960435966782e-08,"adults",10
"4775","zigzag_3",13,"ak2g4wy9vp",0.35336817252996,0.338133215054952,0.405081751826085,0.409437715590178,0.0117873747833808,1.71581770295039e-06,0.878726580175083,0.121271704007214,"adults",11
"4776","zigzag_3",14,"ak2g4wy9vp",0.400587479980117,0.446654781300051,0.399873188427373,0.454292557977777,0.0117873747833808,0.995013755093541,1.55579298343184e-05,0.00497068697662505,"adults",12
"4777","zigzag_widening",3,"ak2g4wy9vp",0.556328353675374,0.468193412768543,0.559607939206569,0.476792704362209,0.0117873747833808,0.999998392865586,1.15573037295704e-06,4.51404041001875e-07,"adults",1
"4778","zigzag_widening",4,"ak2g4wy9vp",0.579523802949136,0.426772967636826,0.592249422567498,0.418641020896371,0.0117873747833808,0.99999457327853,1.95541859196494e-06,3.47130287846221e-06,"adults",2
"4779","zigzag_widening",5,"ak2g4wy9vp",0.527334042083172,0.441684327884244,0.53053209747365,0.460471962681744,0.0117873747833808,0.999996768856487,3.21867613932398e-06,1.2467374117325e-08,"adults",3
"4780","zigzag_widening",6,"ak2g4wy9vp",0.55549994477274,0.395293429336721,0.574274617123376,0.390557617421646,0.0117873747833808,0.999996630196309,3.36117886467674e-06,8.62482654011212e-09,"adults",4
"4781","zigzag_widening",7,"ak2g4wy9vp",0.501653366101508,0.41600365190258,0.501456255740731,0.44415122100128,0.0117873747833808,0.999984053229558,1.59456121507852e-05,1.15829123001611e-09,"adults",5
"4782","zigzag_widening",8,"ak2g4wy9vp",0.54224540233059,0.368784344452422,0.556299811679255,0.362474213946922,0.0117873747833808,0.999997976689143,2.02330822462402e-06,2.63211853004008e-12,"adults",6
"4783","zigzag_widening",9,"ak2g4wy9vp",0.467688601093499,0.404405927265699,0.472380414007812,0.427830479320815,0.0117873747833808,0.999993045215055,6.95478493674903e-06,8.6053947731919e-15,"adults",7
"4784","zigzag_widening",10,"ak2g4wy9vp",0.51739313525156,0.343103668470758,0.538325006235133,0.334390810472197,0.0117873747833808,0.999994368239293,5.63176068315502e-06,2.38430654804752e-14,"adults",8
"4785","zigzag_widening",11,"ak2g4wy9vp",0.445321560722372,0.388666158115646,0.443304572274894,0.411509737640351,0.0117873747833808,0.999994114609732,5.88539026784178e-06,2.50954074931159e-17,"adults",9
"4786","zigzag_widening",12,"ak2g4wy9vp",0.500824957198873,0.309967312365384,0.520350200791011,0.306307406997472,0.0117873747833808,0.999996384438702,3.6155612976487e-06,5.85078040360537e-20,"adults",10
"4787","zigzag_widening",13,"ak2g4wy9vp",0.412185204616999,0.366299117744519,0.414228730541975,0.395188995959887,0.0117873747833808,0.99998100572302,1.8994276979993e-05,1.9008624625025e-21,"adults",11
"4788","zigzag_widening",14,"ak2g4wy9vp",0.460232920969791,0.288428680896891,0.50237539534689,0.278224003522748,0.0117873747833808,0.998968631020586,0.00103136897941367,5.06960826074958e-18,"adults",12
"4789","3_pts",3,"p8rr2wy859",0.594470980533526,0.28497948386276,0.402922597226616,0.375,0.00823971217871009,3.75569991581876e-103,1,5.11602440043893e-18,"adults",1
"4790","3_pts",4,"p8rr2wy859",0.496502449213283,0.375950262945842,0.500000000000001,0.375,0.00823971217871009,0.999998476537318,1.5234626815575e-06,8.41580973021e-26,"adults",2
"4791","3_pts",5,"p8rr2wy859",0.598924095593537,0.373405625768693,0.597077402773385,0.375,0.00823971217871009,0.999998554568025,1.44543197528756e-06,2.52443481134753e-28,"adults",3
"4792","3_pts",6,"p8rr2wy859",0.402987032953052,0.374677944357267,0.402922597226616,0.375,0.00823971217871009,0.999998615073169,1.38492683093922e-06,7.10368138181817e-94,"adults",4
"4793","3_pts",7,"p8rr2wy859",0.496502449213283,0.372769466474406,0.500000000000001,0.375,0.00823971217871009,0.99999843043144,1.56956856037909e-06,8.41580910740745e-26,"adults",5
"4794","3_pts",8,"p8rr2wy859",0.590017865473515,0.376586422240129,0.597077402773385,0.375,0.00823971217871009,0.999997969265186,2.03073481350842e-06,4.22896306043046e-24,"adults",6
"4795","3_pts",9,"p8rr2wy859",0.404259351541626,0.375314103651555,0.402922597226616,0.375,0.00823971217871009,0.999998596944389,1.40305561075133e-06,1.02018503293867e-92,"adults",7
"4796","3_pts",10,"p8rr2wy859",0.495866289918996,0.375950262945842,0.500000000000001,0.375,0.00823971217871009,0.999998421413271,1.57858672926544e-06,1.68903413418043e-25,"adults",8
"4797","3_pts",11,"p8rr2wy859",0.595107139827813,0.380403378005853,0.597077402773385,0.375,0.00823971217871009,0.999998236926867,1.76307313340837e-06,1.58788890292657e-26,"adults",9
"4798","3_pts",12,"p8rr2wy859",0.402350873658764,0.377858740828704,0.402922597226616,0.375,0.00823971217871009,0.999998527373618,1.47262638148966e-06,1.8745118826578e-94,"adults",10
"4799","3_pts",13,"p8rr2wy859",0.502864042156156,0.382948015183002,0.500000000000001,0.375,0.00823971217871009,0.999997664999195,2.33500080489056e-06,8.41780681574524e-29,"adults",11
"4800","3_pts",14,"p8rr2wy859",0.591926343356377,0.369588670002969,0.597077402773385,0.375,0.00823971217871009,0.999997917018873,2.08298112658459e-06,5.15916964824387e-25,"adults",12
"4801","alternating_diff_1",3,"p8rr2wy859",0.28593372280419,0.339053023877178,0.281837130231287,0.347384446864719,0.00823971217871009,0.999996669079466,3.33092051261652e-06,2.17183287017832e-14,"adults",1
"4802","alternating_diff_1",4,"p8rr2wy859",0.227407067729759,0.346050776114339,0.339829791815375,0.347384446864719,0.00823971217871009,2.52916950611666e-27,0.999816772005255,0.000183227994745508,"adults",2
"4803","alternating_diff_1",5,"p8rr2wy859",0.343188059290046,0.409666705543067,0.339829791815375,0.405377108448808,0.00823971217871009,0.999997802967743,2.19703186146166e-06,3.9568953918751e-13,"adults",3
"4804","alternating_diff_1",6,"p8rr2wy859",0.393444643538741,0.405213590483056,0.397822453399464,0.405377108448808,0.00823971217871009,0.999997965713395,2.03405291716348e-06,2.33687808573741e-10,"adults",4
"4805","alternating_diff_1",7,"p8rr2wy859",0.397897758598753,0.344778457525764,0.397822453399464,0.347384446864719,0.00823971217871009,0.999998142962105,1.8570365518734e-06,1.34264603020237e-12,"adults",5
"4806","alternating_diff_1",8,"p8rr2wy859",0.451335139318885,0.344778457525764,0.455815114983552,0.347384446864719,0.00823971217871009,0.999997847750625,2.15199706813362e-06,2.52307292168297e-10,"adults",6
"4807","alternating_diff_1",9,"p8rr2wy859",0.454515935790321,0.406485909071631,0.455815114983552,0.405377108448808,0.00823971217871009,0.999998195110505,1.80488548805814e-06,4.0065305153191e-12,"adults",7
"4808","alternating_diff_1",10,"p8rr2wy859",0.509861794393315,0.400124316128758,0.51380777656764,0.405377108448808,0.00823971217871009,0.999997573746605,2.42608431762435e-06,1.69077205984682e-10,"adults",8
"4809","alternating_diff_1",11,"p8rr2wy859",0.509225635099028,0.342233820348615,0.51380777656764,0.347384446864719,0.00823971217871009,0.999997494776108,2.50522367995016e-06,2.12468197446396e-13,"adults",9
"4810","alternating_diff_1",12,"p8rr2wy859",0.564571493702022,0.344142298231477,0.571800438151729,0.347384446864719,0.00823971217871009,0.999997195218313,2.8027687432951e-06,2.01294381108393e-09,"adults",10
"4811","alternating_diff_1",13,"p8rr2wy859",0.568388449467746,0.406485909071631,0.571800438151729,0.405377108448808,0.00823971217871009,0.999998058239652,1.94175634167083e-06,4.00652918747419e-12,"adults",11
"4812","alternating_diff_1",14,"p8rr2wy859",0.626278945247889,0.403941271894482,0.629793099735817,0.405377108448808,0.00823971217871009,0.999998036033313,1.96384427828834e-06,1.22409087927256e-10,"adults",12
"4813","alternating_diff_2",3,"p8rr2wy859",0.319014006107129,0.3880372895373,0.297025684455691,0.330815114983552,0.00823971217871009,2.82650865905413e-05,0.997988059168143,0.00198367574526607,"adults",1
"4814","alternating_diff_2",4,"p8rr2wy859",0.319650165401416,0.274164775859875,0.326022015247735,0.38880777656764,0.00823971217871009,4.95272853103148e-29,0.999998658996325,1.34100367487855e-06,"adults",2
"4815","alternating_diff_2",5,"p8rr2wy859",0.364817475295814,0.388673448831587,0.355018346039779,0.38880777656764,0.00823971217871009,0.999987468673287,6.22400492139208e-06,6.30732179121899e-06,"adults",3
"4816","alternating_diff_2",6,"p8rr2wy859",0.390263847067306,0.386128811654438,0.384014676831823,0.38880777656764,0.00823971217871009,0.999969392800353,4.31356164761354e-06,2.62936379996215e-05,"adults",4
"4817","alternating_diff_2",7,"p8rr2wy859",0.421435652487383,0.330782953051444,0.413011007623868,0.330815114983552,0.00823971217871009,0.999994824993114,5.1750068826725e-06,3.69687335041604e-15,"adults",5
"4818","alternating_diff_2",8,"p8rr2wy859",0.447518183553162,0.392490404597311,0.442007338415912,0.38880777656764,0.00823971217871009,0.999995758366715,4.24163328445715e-06,7.89632369452419e-16,"adults",6
"4819","alternating_diff_2",9,"p8rr2wy859",0.472328396030366,0.389309608125875,0.471003669207956,0.38880777656764,0.00823971217871009,0.999802146346559,3.11629934893943e-06,0.000194737354092222,"adults",7
"4820","alternating_diff_2",10,"p8rr2wy859",0.506044838627593,0.389309608125875,0.5,0.38880777656764,0.00823971217871009,0.999967418456894,4.02454959463523e-06,2.85569935117474e-05,"adults",8
"4821","alternating_diff_2",11,"p8rr2wy859",0.519404183807626,0.328238315874295,0.528996330792044,0.330815114983552,0.00823971217871009,0.999993655093393,6.34490623026128e-06,3.76675272258669e-13,"adults",9
"4822","alternating_diff_2",12,"p8rr2wy859",0.561390697230586,0.391854245303024,0.557992661584088,0.38880777656764,0.00823971217871009,0.999996420357309,3.57964268841765e-06,2.59561945559835e-15,"adults",10
"4823","alternating_diff_2",13,"p8rr2wy859",0.588745546884939,0.389309608125875,0.586988992376133,0.38880777656764,0.00823971217871009,0.99983364073896,3.14712773230646e-06,0.000163212133307118,"adults",11
"4824","alternating_diff_2",14,"p8rr2wy859",0.623734308070742,0.391854245303024,0.615985323168177,0.38880777656764,0.00823971217871009,0.999980525820897,5.11242617946683e-06,1.4361752923433e-05,"adults",12
"4825","f_curly_2",3,"p8rr2wy859",0.530218891810509,0.563617254760592,0.579928146924981,0.481519878427231,0.00823971217871009,2.12641756248061e-21,1,1.00595753597003e-16,"adults",1
"4826","f_curly_2",4,"p8rr2wy859",0.559482219347724,0.356865484117222,0.656954817311339,0.424047731141991,0.00823971217871009,8.53922786271587e-33,1,8.65893557814839e-37,"adults",2
"4827","f_curly_2",5,"p8rr2wy859",0.750330007633911,0.419209094957377,0.698955677568687,0.484980860603813,0.00823971217871009,7.33182684684113e-16,0.999999999999999,1.4426947277397e-19,"adults",3
"4828","f_curly_2",6,"p8rr2wy859",0.791044202468298,0.442110829551719,0.617547330147846,0.550010866556685,0.00823971217871009,9.30189624277199e-98,1,2.20179993575938e-23,"adults",4
"4829","f_curly_2",7,"p8rr2wy859",0.728064432333856,0.604967608889265,0.493337427043184,0.499219269309694,0.00823971217871009,3.20667616039845e-155,1,4.41420675418153e-35,"adults",5
"4830","f_curly_2",8,"p8rr2wy859",0.549303670639127,0.393126563891598,0.465544156311882,0.371288512496877,0.00823971217871009,3.47628107884704e-17,1,4.44039946562129e-33,"adults",6
"4831","f_curly_2",9,"p8rr2wy859",0.506044838627592,0.263350067856991,0.541357081852728,0.31053195482896,0.00823971217871009,1.43692764933277e-06,0.999998563072351,1.76792409173558e-30,"adults",7
"4832","f_curly_2",10,"p8rr2wy859",0.602104892064973,0.373405625768692,0.586092076154858,0.369277611059628,0.00823971217871009,0.996903707253932,0.00309629274606772,6.18374467208227e-19,"adults",8
"4833","f_curly_2",11,"p8rr2wy859",0.496502449213282,0.432568440137409,0.50762174079174,0.436212508941329,0.00823971217871009,0.998841939351739,0.00115806064826058,9.26652775045911e-30,"adults",9
"4834","f_curly_2",12,"p8rr2wy859",0.345096537172908,0.375950262945841,0.382530545447871,0.388809694971706,0.00823971217871009,0.153474963250271,0.846525036749729,1.68388442090271e-70,"adults",10
"4835","f_curly_2",13,"p8rr2wy859",0.364817475295814,0.281162528097035,0.35124348035719,0.261111164527389,0.00823971217871009,0.973881139499507,0.0261188605004925,1.96553009666511e-28,"adults",11
"4836","f_curly_2",14,"p8rr2wy859",0.443701227787438,0.185102474659654,0.425734355154999,0.197112275916355,0.00823971217871009,0.988084391444407,0.0119156085555932,1.78199507740037e-34,"adults",12
"4837","hexagon",3,"p8rr2wy859",0.604013369947836,0.535626245811953,0.587820118733407,0.559131835483098,0.00823971217871009,0.999737227720545,0.000262772279455437,1.32750820413627e-69,"adults",1
"4838","hexagon",4,"p8rr2wy859",0.4055316701302,0.563617254760593,0.393691435217454,0.559131835483098,0.00823971217871009,0.999998166140514,1.83385948644185e-06,7.14963328303094e-85,"adults",2
"4839","hexagon",5,"p8rr2wy859",0.312652413164256,0.402668953305908,0.296627093459477,0.391011463955053,0.00823971217871009,0.999989545241792,1.0454758207741e-05,4.06343156311237e-79,"adults",3
"4840","hexagon",6,"p8rr2wy859",0.390900006361593,0.228997465965478,0.393691435217453,0.222891092427008,0.00823971217871009,0.999999219528138,7.80471861529581e-07,1.33552500135202e-89,"adults",4
"4841","hexagon",7,"p8rr2wy859",0.590654024767802,0.221363554434031,0.587820118733407,0.222891092427007,0.00823971217871009,0.999999395960891,6.04039108918648e-07,2.5617024198372e-98,"adults",5
"4842","hexagon",8,"p8rr2wy859",0.689258715382331,0.389309608125875,0.684884460491384,0.391011463955052,0.00823971217871009,0.99999934167584,6.58324159937434e-07,2.23623092114851e-96,"adults",6
