"","changepoints","func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sampled_sd_x","sampled_sd_y","sd_x","sd_y"
"45","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.88138338871716,0.522038983826778,5,23.5945463133755,1.91136159207543,21.3493460573712,13.0875732048464,-18.1345732126189,"line",64.0617394277451,88.8661685447315,2,23.4,2,0.0312915597717429,0.028129507502156,0.0298670079611055,0.0298991607543641
"46","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.996198892999173,0.648914820633411,6,23.7403889196197,2.19997532684855,61.8963872754955,9.62593042329151,-20.9703670209055,"line",63.3596695118044,64.5686307046394,2,23.4,2,0.0271768542066532,0.0467573271143714,0.0279937629384549,0.0434664845472873
"47","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.14361476281469,2.65983781398393,7,23.6292742401095,2.39188164328548,7.2555443865768,14.6944710379513,-20.8733585863569,"line",56.4860349162516,23.9993158074906,2,23.4,2,0.0474801838173281,0.0807413697659,0.0516535557511606,0.0761163273081481
"48","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.725875575104775,2.7969992263767,8,24.2816371055559,1.97479440203886,8.82226878106856,30.99506269615,-20.1419804200056,"line",72.057412191596,67.3012102611189,2,23.4,2,0.0718789585969668,0.0247085259296445,0.0685510918031793,0.0218407274589147
"49","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.181711946581002,0.465386819807822,9,24.4512862238364,1.17156857293273,13.8341866865744,18.7589174753706,-23.1666219508129,"line",78.3392098424195,76.0148616159642,2,23.4,2,0.0749308672423042,0.0790829778454463,0.0709395095956393,0.0717481879169339
"50","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.173289889386388,0.159274608684593,10,24.3913294146773,1.06067565159646,8.73497495321358,3.10212174340155,-20.3977858454204,"line",55.4082835276382,75.2950369741268,2,23.4,2,0.0824191628143613,0.109157732818603,0.0847579465377055,0.100037659659471
"51","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.343933140173848,0.194582546769732,11,24.0969932681764,1.14636239770493,12.7757118533215,3.03223918397881,-20.7018160148256,"line",54.1469733836216,96.2812915780067,2,23.4,2,0.0600308348897563,0.0850337155065427,0.0634478399504821,0.0844711105651565
"52","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.836660181916749,0.458079361722601,12,23.5431297632352,1.77979368159836,33.7144015681068,4.17842236080084,-21.1724283303233,"line",63.2508808137826,118.685123025905,2,23.4,2,0.0219218510208326,0.0449502918376828,0.0235791275704827,0.0469275691401874
"53","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.3101440680934,0.696148981970536,13,23.5935241716991,2.64575932025486,9.48466125619948,4.57466773190673,-21.0385319644365,"line",23.7543647425999,83.5093040931408,2,23.4,2,0.0690607118951192,0.0721121601832799,0.0686060938186206,0.0710904615129468
"54","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.00838309588751,0.656987231732688,14,23.7487522634055,2.22402841695225,11.2884982847512,15.5839309955626,-22.6713224674728,"line",12.4594041786127,67.3862894099701,2,23.4,2,0.108815091446832,0.0374249686166953,0.0962043060154791,0.036128612826546
"55","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.618398099157374,2.03837884247759,15,23.5651542528891,1.05269043693724,60.7215718627009,14.1668976160502,-26.5506759663015,"line",119.975013953064,39.4729103766308,2,23.4,2,0.0132698756698628,0.106652017296424,0.0142421447050624,0.113271482052327
"56","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.84127588041215,0.378488514125888,16,23.4187214136008,1.66639702683838,33.6929693780418,19.3948652536996,-18.6903047362487,"line",36.2098198188016,56.8826551942784,2,23.4,2,0.028248512352007,0.0439567313891872,0.0282916920888369,0.0430362411081836
"57","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.53829773951657,0.412929159536638,17,22.4462279346821,2.31419380629472,9.49333108028438,4.22644656724114,-19.7054358365161,"line",79.7314386108388,55.6642299325227,2,23.4,2,0.0618643922173589,0.0685081819415778,0.0681066034272693,0.0710397426731684
"58","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.18949668020111,2.76438591614154,18,23.9089891519768,2.56830134406166,9.46665035566252,17.5406742623577,-21.5168643199571,"line",36.3819948517962,90.7526181273438,2,23.4,2,0.0671230343117389,0.0506718258005211,0.0698297581596525,0.0487989062054679
"59","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.01117858882159,0.425921240931692,19,23.2417398756213,1.88694243682497,26.9870257210777,75.6321831381024,-21.9935046659394,"line",86.0715022173249,48.7127476046299,2,23.4,2,0.0236441907241469,0.0212923098694667,0.0225980537590569,0.0198626377914995
"60","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.11389061593899,0.343559971136933,20,22.9431751493586,1.80945201444152,10.0992512584791,34.0187098720997,-21.0907856920858,"line",91.7476697510474,106.973961992749,2,23.4,2,0.0421882888972623,0.021587457465834,0.0416329192281732,0.0209852952668
"61","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.860956950635138,4.1357269374869,1,21.8529872630909,2.25762457813012,2.33499729803459,0.659344577294274,-28.3193942600907,"line",94.0996440177937,54.6601190610008,3,22.1,3,0.0654135658186537,0.192461355272583,0.0685066448130527,0.1794417048596
"62","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.808835555447781,0.593166917682023,2,22.5130860259604,2.91813747443328,3.9284106602108,1.63214020807444,-28.9661196909546,"line",17.8242950485575,36.530176000047,3,22.1,3,0.114524434282379,0.131558186669188,0.127297483145252,0.128119513975444
"63","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.816142042775267,0.452646318692471,3,22.2631026593646,2.75323417692115,1.00589829303916,1.49705441902447,-25.7424843237036,"line",81.0517119128474,84.5129157365711,3,22.1,3,0.118858918077244,0.0876669327057218,0.110507440863679,0.0903741143343643
"64","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.98388265386204,0.205639616616928,4,21.6847041134216,2.44167833505201,4.07214091185999,1.07440501888386,-26.7770650510533,"line",90.1940192305621,64.9881134931523,3,22.1,3,0.0547968239823575,0.127673942292897,0.0570296694848436,0.128322803934575
"65","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.747494400822852,0.354412231912801,5,22.2332624409705,2.55857558713277,1.90290664994016,3.86744070099898,-26.1885341548128,"line",34.1736992422781,57.1703415276799,3,22.1,3,0.115350977353467,0.0786593872115936,0.122840763715356,0.0782297910424724
