"","func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sampled_sd_x","sampled_sd_y","sd_x","sd_y"
"11","map_list_to_op_func(lambda_op(move_s(apply_expr_to_expr_func(lambda_expr(arithmetic_type(mod(round(int(7)), round(apply_expr_to_expr_func(lambda_expr(bv_3()), int(6)))))), round(int(8))))), range())",-2.40492150485381,2.98791374643852,20,13,10,48.298075637104,142.493210896376,1,"line",84.4984926307168,71.9549239556459,10,13,10,0.0251098109742286,0.0172092945226361,0,0
"12","move_ts(real(1.579780055810693), arithmetic_type(mod(int(3), int(2))))",0.796071274134122,1.48648555541503,20,11.7,11,87.4809634737685,98.0601137937346,1,"line",28.8364401502269,72.41827447147,11,11.7,11,0.0285460293813935,0.0193524447727827,0,0
"13","move_ts(real(-2.407934647762241), apply_expr_to_expr_func(lambda_expr(int(1)), real(-4.305469185480611)))",3.16329283407006,0.0474602033265493,20,10.4,12,74.4017028285977,51.8989457339581,1,"line",75.0983080451356,53.0868197616866,12,10.4,12,0.0225499027447159,0.0287349623800341,0,0
"14","move_s(round(int(1)))",-2.41755920129795,6.43916014071594,20,9.1,13,78.6387630486726,124.238424054243,1,"line",58.950349787113,58.6467381867835,13,9.1,13,0.0252644615347239,0.0186596569541375,0,0
"15","move_ts(real(-2.4109345138971823), round(real(1.9706744753053238)))",0.83612814582258,2.16260770507698,20,7.8,14,92.393064861251,131.432645346172,1,"line",84.710645290249,71.1072448099231,14,7.8,14,0.0170438952257272,0.0153136783922862,0,0
"16","move_s(apply_expr_to_expr_func(lambda_expr(round(bv_1())), apply_expr_to_expr_func(lambda_expr(bv_1()), real(1.3232850514276955))))",1.57823186300973,2.38858051065304,20,6.5,15,89.5020997252552,117.560165715791,1,"line",90.1405191479354,58.0582081900252,15,6.5,15,0.018846919263768,0.0201333658864784,0,0
"17","move_s(arithmetic_type(minus(round(arithmetic_type(plus(apply_expr_to_expr_func(lambda_expr(bv_1()), real(-3.457158901252603)), round(int(7))))), int(2))))",1.58309517897964,2.19181698813276,20,5.2,16,139.753495292579,117.588108193648,1,"line",67.8439376357672,91.3791275254807,16,5.2,16,0.0182117853902106,0.0160726465688691,0,0
"18","move_s(round(int(1)))",1.5816763095475,0.383581935908693,20,3.9,17,116.132537761867,148.983450456091,1,"line",59.9274924737316,32.8524719103378,17,3.9,17,0.0196112864598314,0.0213169984510818,0,0
"19","move_s(arithmetic_type(divide(apply_expr_to_expr_func(lambda_expr(apply_expr_to_expr_func(lambda_expr(int(3)), bv_1())), apply_expr_to_expr_func(lambda_expr(bv_1()), arithmetic_type(divide(round(apply_expr_to_expr_func(lambda_expr(bv_1()), int(6))), arithmetic_type(times(real(1.8516295761574764), real(5.745528757772816))))))), int(3))))",1.5857081806058,1.03200147009454,20,2.6,18,105.551008914581,90.9107104860232,1,"line",53.2174571099658,42.0366526457406,18,2.6,18,0.0219539693432386,0.0226713753130753,0,0
"20","move_s(int(1))",-2.41460381134698,5.36638810393566,20,1.3,19,91.7005052136764,117.409085344497,1,"line",63.1641075432189,56.30125978898,19,1.3,19,0.020338783544818,0.0176477457665508,0,0
