fn_x,fn_y,noise_x,noise_y,particle,pred_x,pred_y,prev_x,prev_y,score,sd_x,sd_y,seq_id,tpt,true_x,true_y,var_x,var_y,weight
"SquaredExponential(0.018534039406506227, 1, 1)","SquaredExponential(0.05050093804661937, 2, 1)",0.0005832279507297,0.0087936116980527,6,20.855445219170736,4.374574938069989,0.7894736842105265,-0.7894736842105263,3.033801236159848,1.7379347512304473,1.8532673640135884,line,4,20.8,4.0,0.0198030926554078,0.0380565088367631,-2.3302175661261084
"Constant(0.36927320943679487, 1)","Linear(0.43675133502201435, 2, 1)",0.0056415735414123,0.0081550949384924,7,23.344012968275027,3.814766217274161,0.7894736842105265,-0.7894736842105263,5.287099570212597,1.0704372742779298,0.9423084800911726,line,4,20.8,4.0,0.0075125700022197,0.0098387287717643,-11.39693887300653
"Constant(0.7701886226151635, 1)","Linear(0.3181404866766129, 2, 1)",0.0062402451454975,0.0030939070524272,8,23.370237168975404,3.4269397990344617,0.7894736842105265,-0.7894736842105263,6.567116281206149,1.1261361044098985,0.5859165796059314,line,4,20.8,4.0,0.0083147242253143,0.0038038585956466,-4.946643997381054
"Linear(0.5152936751195577, 2, 1)","SquaredExponential(0.2507038945680242, 2, 1)",2.75343179047402e-05,0.0090000104225426,9,20.704765237930502,3.5719611303353704,0.7894736842105265,-0.7894736842105263,9.653375306651569,0.07065828759293584,1.4982927185394983,line,4,20.8,4.0,3.2733489193831344e-05,0.024874028481202,-3.070760151569184
"SquaredExponential(0.3199424314241539, 2, 1)","Linear(0.5153399181206882, 3, 1)",0.0032567177045588,0.0074967051293893,10,21.07454206376256,4.006907023957963,0.7894736842105265,-0.7894736842105263,5.292880518699079,1.2380077473304492,0.899158761622867,line,4,20.8,4.0,0.0100487677716416,0.008958298931891,-0.5416539524449164
"Linear(0.48333828474759133, 1, 1)","Linear(0.9576081692527524, 3, 1)",0.0005156551268706,0.0095439455730558,11,20.68870475601329,3.000465317517856,0.7894736842105265,-0.7894736842105263,7.812807849653388,0.30570535104654484,1.0412393571515273,line,4,20.8,4.0,0.0006127342631971,0.012013068131649,-0.3737885377975587
"Linear(0.5280772436284313, 3, 1)","Linear(0.7561711602605491, 3, 1)",0.0017210880039341,0.0044411870400003,12,20.93630258456772,3.277899742070121,0.7894736842105265,-0.7894736842105263,7.566922201294941,0.561237772763696,0.7048323314413603,line,4,20.8,4.0,0.0020651893168336,0.0055045829966212,0.6375233930985762
"SquaredExponential(0.724547731325242, 2, 1)","Linear(0.043074751680645264, 2, 1)",0.0008349066616991,0.0070493061067971,13,20.99753172374076,2.9936678668098646,0.7894736842105265,-0.7894736842105263,6.006308766680599,0.6390126534161769,0.894943544863709,line,4,20.8,4.0,0.0026772257943974,0.0088745035844124,-6.066423384059169
"SquaredExponential(0.13037271363366942, 1, 1)","Linear(0.06194548617994086, 2, 1)",0.0049167310568585,0.0070874800934023,14,20.760954397631714,3.0157854657277885,0.7894736842105265,-0.7894736842105263,5.337237600966168,1.6099545865976823,0.8968241800124717,line,4,20.8,4.0,0.0169939108715561,0.0089118405524104,-7.231801470248189
"Linear(0.8401079529626694, 1, 1)","Constant(0.8727936362649545, 1)",0.0034814842072537,0.0060477464231935,15,21.926669996683035,2.0195874422018854,0.7894736842105265,-0.7894736842105263,6.270034587637026,0.8143756322947973,0.8528342342915792,line,4,20.8,4.0,0.0043482612104807,0.0080590164119634,-4.935888207540261
"SquaredExponential(0.16322978800519566, 1, 1)","Linear(0.8797329251225217, 3, 1)",0.0098990694187301,0.0044510117665364,16,21.107062610917204,3.080869236365293,0.7894736842105265,-0.7894736842105263,5.336216104684446,2.1044362982503855,0.7093639489990923,line,4,20.8,4.0,0.0290360578497846,0.0055755923782779,-1.1898105386355844
"Constant(0.5900114303954314, 1)","Constant(0.5268009763261255, 1)",0.0085745989530614,0.0067502348569362,17,23.346728412886815,2.036150888012156,0.7894736842105265,-0.7894736842105263,5.797115549465033,1.3197186737284947,0.9007855443928077,line,4,20.8,4.0,0.0114190193432949,0.0089907434569201,0.5325429935680372
"Linear(0.8004490319007634, 1, 1)","Constant(0.29162185617193265, 1)",0.002612845117472,0.0085621269202987,18,21.850836041403976,2.082381477509158,0.7894736842105265,-0.7894736842105263,6.280784380811017,0.7043561401758551,1.013811052024938,line,4,20.8,4.0,0.0032527500677174,0.0113885080244643,-2.5265162351811865
