degree,particle,pred_x,pred_y,prev_x,prev_y,score,sd_x,sd_y,seq_id,terms,tpt,true_x,true_y,weight,weights_x,weights_y
1,20,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[-0.3518796987982448, 0.588413196325501, -0.4209520453106439, 0.9563904171078309]","[-0.20205974459058487, -0.9779948274033633, -0.01981917035203095, 0.34450399516486746]"
1,1,31.81867559406652,36.45770838810397,1.6116459280507602,-1.6116459280507605,-35.39155816763967,2.0369781949029346,8.65394794889421,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",1,24.700000000000003,0.9999999999999998,0.0,"[-2.253546068077921, -1.7183537539300546, 2.1742918262951343, 0.9969205593902233]","[2.986778137565268, -0.8514567487162368, -0.9964112276306201, -0.8928364006823921]"
1,2,13.042345549825534,35.808868430996824,1.6116459280507602,-1.6116459280507605,-34.1038878131326,2.212777931697793,1.757965371235612,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",1,24.700000000000003,0.9999999999999998,0.0,"[0.3880572628492738, 0.8766965486365476, 2.2952579845630625, 1.5772259860340327]","[0.5993473257687417, -0.1570826433774969, 1.8788788822674185, -0.164800077890852]"
1,3,6627.494694335305,-3808.016134135109,1.6116459280507602,-1.6116459280507605,-54.99078321688458,4.1129343111538885,2.6986430355523936,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",1,24.700000000000003,0.9999999999999998,0.0,"[27.274904665757667, -213.43976381912557, 195.76762275523694, -78.73929935609353]","[-339.0435016348738, -102.04161698017563, -200.68979943778885, 69.31663866834297]"
1,4,-17.497897175898743,50.42924717325871,1.6116459280507602,-1.6116459280507605,7.324989595158726,112756.90044752596,4583356.398936409,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",1,24.700000000000003,0.9999999999999998,0.0,"[0.29888868453244, 1.1288360085012206, -2.0227513405394393, -0.590609244771957]","[-0.11475111094773412, -1.8043494114002658, 1.5958738717386514, -0.6799072629102543]"
1,5,37.29299161110008,-40.98164056169375,1.6116459280507602,-1.6116459280507605,-15.047017001860333,12067.959389067206,39.6569146765538,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",1,24.700000000000003,0.9999999999999998,0.0,"[-0.41581724502175615, -1.0693466520996437, -0.047922303449316576, -1.0526429800921304]","[-0.6399984413503053, 0.3921383144984001, -2.5608100499562907, 1.6648639068187425]"
1,6,8.21771190307664,10.65128838764794,1.6116459280507602,-1.6116459280507605,-26.032178752384795,5.953386431134904,3.112490343139096,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",1,24.700000000000003,0.9999999999999998,0.0,"[0.26062819240977614, 0.6037510462764663, -0.2536515593826789, -0.31220833330828807]","[-0.051610880495395015, -0.18288048993348247, 0.25072941863766074, 0.32043558155223323]"
1,7,72.69550596272062,-3.743974787353137,1.6116459280507602,-1.6116459280507605,-32.996599321609,3.033060509173076,1.3970464025595062,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",1,24.700000000000003,0.9999999999999998,0.0,"[1.4380740739479332, -1.0778337723451763, 1.3858202596384872, -1.1771490174533077]","[0.9860643404363811, 1.2068381457869308, -2.068741663609795, -1.227948093069691]"
1,8,-12.234980822771295,-12.40281226823264,1.6116459280507602,-1.6116459280507605,-30.45495885072089,6.347932389139435,18.254333362593563,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",1,24.700000000000003,0.9999999999999998,0.0,"[-4.742875179087074, 1.9735737686424384, -0.09913601249739405, -2.9280324437756913]","[-0.8429308993129813, -2.4636560789224364, 0.23612489348232202, 4.206702219903084]"
1,9,127.71811904189279,59.30350222708902,1.6116459280507602,-1.6116459280507605,-34.12047604580961,1.9903105189595967,3.0916883903487156,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",1,24.700000000000003,0.9999999999999998,0.0,"[2.6769382250066487, -0.4174449633320607, 3.8214902336387, -2.7852752489704056]","[0.13959876180078737, -3.5077826715110025, -1.3077588998820298, -2.517816854584113]"
