"func.type","tpt","emd","model","population"
"plus",13,1.25704325667978,"gpnc","adult"
"zigzag_1",13,0.290989117199564,"gpnc","adult"
"f_curly_2",13,0.548360011580541,"gpnc","adult"
"zigzag_widening",13,0.855403488519641,"gpnc","adult"
"square_2",13,0.588609768522423,"gpnc","adult"
"radial_1",13,0.0972311773241075,"gpnc","adult"
"zigzag_2",13,0.690349334358916,"gpnc","adult"
"line",13,0.438589343769816,"gpnc","adult"
"stairs",13,0.767132771013297,"gpnc","adult"
"increasing_lines",13,1.48581827528629,"gpnc","adult"
"sine",13,0.828236958412789,"gpnc","adult"
"spiral_outward",13,0.757933434421872,"gpnc","adult"
"zigzag_3",13,1.22587668345149,"gpnc","adult"
"hexagon",14,0.0164961472872015,"gpnc","adult"
"3_pts",14,0.0432181236200918,"gpnc","adult"
"stairs_2",14,0.91184504371126,"gpnc","adult"
"alternating_diff_2",14,0.422051812188037,"gpnc","adult"
"hourglass_1",14,0.084530095522188,"gpnc","adult"
"square_spiral",14,0.37024212603871,"gpnc","adult"
"alternating_diff_1",14,0.130256703784855,"gpnc","adult"
"triangle_1",14,0.0284037489057058,"gpnc","adult"
"plus",14,0.548037454475577,"gpnc","adult"
"zigzag_1",14,0.22737673966929,"gpnc","adult"
"f_curly_2",14,0.353696389221882,"gpnc","adult"
"zigzag_widening",14,1.03463257427107,"gpnc","adult"
"square_2",14,0.0329523106053385,"gpnc","adult"
"radial_1",14,0.0211116006878516,"gpnc","adult"
"zigzag_2",14,0.238436894841878,"gpnc","adult"
"line",14,0.39417119452301,"gpnc","adult"
"stairs",14,0.581616690866634,"gpnc","adult"
"increasing_lines",14,1.83670863935527,"gpnc","adult"
"sine",14,0.857755344095094,"gpnc","adult"
"spiral_outward",14,0.79705238758596,"gpnc","adult"
"zigzag_3",14,0.547352245382519,"gpnc","adult"
"hourglass_1",3,1.58314713657333,"gpnc","child"
"triangle_1",3,0.871751180353283,"gpnc","child"
"alternating_diff_1",3,0.699426730020196,"gpnc","child"
"zigzag_3",3,4.21586450541941,"gpnc","child"
"3_pts",3,0.441514523725323,"gpnc","child"
"zigzag_widening",3,3.09385682921656,"gpnc","child"
"zigzag_1",3,0.781294652924473,"gpnc","child"
"zigzag_2",3,0.370712395745013,"gpnc","child"
"stairs",3,2.24895908558375,"gpnc","child"
"increasing_lines",3,1.20267562209519,"gpnc","child"
"square_2",3,0.940510602871628,"gpnc","child"
"f_curly_2",3,0.907826569920837,"gpnc","child"
"radial_1",3,0.902969835056395,"gpnc","child"
"stairs_2",3,2.22323452359181,"gpnc","child"
"plus",3,0.827853111212438,"gpnc","child"
"sine",3,1.42676084517817,"gpnc","child"
"hexagon",3,0.555570746791287,"gpnc","child"
"spiral_outward",3,1.07638042935506,"gpnc","child"
"square_spiral",3,0.550436037618664,"gpnc","child"
"alternating_diff_2",3,1.17225915757603,"gpnc","child"
"line",3,1.66746635399966,"gpnc","child"
"hourglass_1",4,1.37303859937341,"gpnc","child"
"triangle_1",4,1.07791934818315,"gpnc","child"
"alternating_diff_1",4,1.67265605044857,"gpnc","child"
"zigzag_3",4,1.14554701946149,"gpnc","child"
"3_pts",4,1.1754191147658,"gpnc","child"
"zigzag_widening",4,5.10524091864326,"gpnc","child"
"zigzag_1",4,1.04617662119828,"gpnc","child"
"zigzag_2",4,0.493794789867199,"gpnc","child"
"stairs",4,2.84937192064037,"gpnc","child"
"increasing_lines",4,2.33613500307726,"gpnc","child"
"square_2",4,0.511373108770036,"gpnc","child"
"f_curly_2",4,1.37225419210866,"gpnc","child"
"radial_1",4,1.12873916150079,"gpnc","child"
"stairs_2",4,2.85853191047602,"gpnc","child"
"plus",4,1.52393504701619,"gpnc","child"
"sine",4,2.11418510287111,"gpnc","child"
"hexagon",4,1.04187406664359,"gpnc","child"
"spiral_outward",4,0.521617173625678,"gpnc","child"
"square_spiral",4,1.13035183346727,"gpnc","child"
"alternating_diff_2",4,2.62465832515863,"gpnc","child"
"line",4,0.85766190201497,"gpnc","child"
"hourglass_1",5,1.37298755435962,"gpnc","child"
"triangle_1",5,0.646144474800866,"gpnc","child"
"alternating_diff_1",5,2.00554788681789,"gpnc","child"
"zigzag_3",5,0.954460568818944,"gpnc","child"
"3_pts",5,0.611438517125166,"gpnc","child"
"zigzag_widening",5,5.71964111375701,"gpnc","child"
"zigzag_1",5,1.03578675298467,"gpnc","child"
"zigzag_2",5,0.78044838709323,"gpnc","child"
"stairs",5,2.01044223726666,"gpnc","child"
"increasing_lines",5,1.81148399731933,"gpnc","child"
"square_2",5,0.501806165452442,"gpnc","child"
"f_curly_2",5,1.18047424654357,"gpnc","child"
"radial_1",5,0.660534446354227,"gpnc","child"
"stairs_2",5,2.93301649040373,"gpnc","child"
"plus",5,1.47418536615161,"gpnc","child"
"sine",5,1.82597770220174,"gpnc","child"
"hexagon",5,0.603868060867014,"gpnc","child"
"spiral_outward",5,0.875845749612761,"gpnc","child"
"square_spiral",5,0.87524357852738,"gpnc","child"
"alternating_diff_2",5,1.56953405255047,"gpnc","child"
"line",5,0.680190370561551,"gpnc","child"
"hourglass_1",6,1.34510799393706,"gpnc","child"
"triangle_1",6,0.440457070854374,"gpnc","child"
"alternating_diff_1",6,0.945547688460615,"gpnc","child"
"zigzag_3",6,1.90770373793844,"gpnc","child"
"3_pts",6,1.51626236806358,"gpnc","child"
"zigzag_widening",6,3.41880584203525,"gpnc","child"
"zigzag_1",6,0.64841583821494,"gpnc","child"
"zigzag_2",6,0.770817652571655,"gpnc","child"
"stairs",6,1.99865392725121,"gpnc","child"
"increasing_lines",6,2.46887594502109,"gpnc","child"
"square_2",6,0.833395157728797,"gpnc","child"
"f_curly_2",6,1.06657660184502,"gpnc","child"
"radial_1",6,0.873045892239373,"gpnc","child"
"stairs_2",6,2.61100794225442,"gpnc","child"
"plus",6,1.24167654133539,"gpnc","child"
"sine",6,2.19382118222751,"gpnc","child"
"hexagon",6,1.13576813664042,"gpnc","child"
"spiral_outward",6,1.41534278130031,"gpnc","child"
"square_spiral",6,0.911716128445328,"gpnc","child"
"alternating_diff_2",6,2.3501893866294,"gpnc","child"
"line",6,2.29756663415782,"gpnc","child"
"hourglass_1",7,0.570931263585814,"gpnc","child"
"triangle_1",7,0.383280598249151,"gpnc","child"
"alternating_diff_1",7,1.36167593293389,"gpnc","child"
"zigzag_3",7,1.10924972868101,"gpnc","child"
"3_pts",7,0.974210547360357,"gpnc","child"
"zigzag_widening",7,3.08296603094016,"gpnc","child"
"zigzag_1",7,0.771062463695965,"gpnc","child"
"zigzag_2",7,1.17244120275157,"gpnc","child"
"stairs",7,1.73932137000398,"gpnc","child"
"increasing_lines",7,1.86594176027088,"gpnc","child"
"square_2",7,0.573930869895694,"gpnc","child"
"f_curly_2",7,2.51859614009682,"gpnc","child"
"radial_1",7,0.78629819069254,"gpnc","child"
"stairs_2",7,2.90579083186274,"gpnc","child"
"plus",7,1.05304240410355,"gpnc","child"
"sine",7,1.48495243736875,"gpnc","child"
"hexagon",7,1.05413874438998,"gpnc","child"
"spiral_outward",7,0.983963524055347,"gpnc","child"
"square_spiral",7,0.823373841400305,"gpnc","child"
"alternating_diff_2",7,2.33674470842465,"gpnc","child"
"line",7,0.873645658398899,"gpnc","child"
"hourglass_1",8,0.891603382462163,"gpnc","child"
"triangle_1",8,0.281453946403314,"gpnc","child"
"alternating_diff_1",8,0.728422020398203,"gpnc","child"
"zigzag_3",8,1.2740402848281,"gpnc","child"
"3_pts",8,0.56643631061283,"gpnc","child"
"zigzag_widening",8,1.78486595887229,"gpnc","child"
"zigzag_1",8,0.371405912701245,"gpnc","child"
"zigzag_2",8,0.779279525034701,"gpnc","child"
"stairs",8,2.42659871682054,"gpnc","child"
"increasing_lines",8,2.47806410483667,"gpnc","child"
"square_2",8,1.62178883671978,"gpnc","child"
"f_curly_2",8,1.90002509505115,"gpnc","child"
"radial_1",8,0.706970737302977,"gpnc","child"
"stairs_2",8,2.0453591749807,"gpnc","child"
"plus",8,1.8478834056267,"gpnc","child"
"sine",8,2.09059231972683,"gpnc","child"
"hexagon",8,0.628110012556886,"gpnc","child"
"spiral_outward",8,0.986123144568668,"gpnc","child"
"square_spiral",8,1.46617307977776,"gpnc","child"
"alternating_diff_2",8,1.47380463563802,"gpnc","child"
"line",8,0.868477766636691,"gpnc","child"
"hourglass_1",9,0.367633176316581,"gpnc","child"
"triangle_1",9,0.363616734126647,"gpnc","child"
"alternating_diff_1",9,0.624383506331675,"gpnc","child"
"zigzag_3",9,0.943327960520199,"gpnc","child"
"3_pts",9,1.22145484596225,"gpnc","child"
"zigzag_widening",9,4.61002954387841,"gpnc","child"
"zigzag_1",9,1.29374587029261,"gpnc","child"
"zigzag_2",9,0.737724503737796,"gpnc","child"
"stairs",9,1.19095765358827,"gpnc","child"
"increasing_lines",9,3.49373504067195,"gpnc","child"
"square_2",9,0.496957227997432,"gpnc","child"
"f_curly_2",9,1.28041291399241,"gpnc","child"
"radial_1",9,0.731245157490598,"gpnc","child"
"stairs_2",9,1.47983287764341,"gpnc","child"
"plus",9,2.05189917794216,"gpnc","child"
"sine",9,1.55280972076373,"gpnc","child"
"hexagon",9,0.484549052438449,"gpnc","child"
"spiral_outward",9,1.56541889961898,"gpnc","child"
"square_spiral",9,1.30102670676783,"gpnc","child"
"alternating_diff_2",9,1.4376275196379,"gpnc","child"
"line",9,1.52003735252619,"gpnc","child"
"hourglass_1",10,0.774412289987959,"gpnc","child"
"triangle_1",10,0.376018562758217,"gpnc","child"
"alternating_diff_1",10,1.08868415722656,"gpnc","child"
"zigzag_3",10,1.36173901412169,"gpnc","child"
"3_pts",10,0.700512394076962,"gpnc","child"
"zigzag_widening",10,2.67203301644088,"gpnc","child"
"zigzag_1",10,1.13326385876452,"gpnc","child"
"zigzag_2",10,1.81083409500727,"gpnc","child"
"stairs",10,1.93749490358229,"gpnc","child"
"increasing_lines",10,3.53186434487246,"gpnc","child"
"square_2",10,1.34568010713204,"gpnc","child"
"f_curly_2",10,1.18412422004024,"gpnc","child"
"radial_1",10,0.735717969888166,"gpnc","child"
"stairs_2",10,1.82648776690671,"gpnc","child"
"plus",10,1.87183854848102,"gpnc","child"
"sine",10,2.33735019905975,"gpnc","child"
"hexagon",10,0.454296504080594,"gpnc","child"
"spiral_outward",10,1.38037814016865,"gpnc","child"
"square_spiral",10,1.09137250486777,"gpnc","child"
"alternating_diff_2",10,0.993065770631706,"gpnc","child"
"line",10,1.11938037919237,"gpnc","child"
"hourglass_1",11,0.699640344368025,"gpnc","child"
"triangle_1",11,0.279306236692632,"gpnc","child"
"alternating_diff_1",11,0.668126394781153,"gpnc","child"
"zigzag_3",11,0.871388077923923,"gpnc","child"
"3_pts",11,0.670652808193904,"gpnc","child"
"zigzag_widening",11,4.49235416797102,"gpnc","child"
"zigzag_1",11,1.10011364495287,"gpnc","child"
"zigzag_2",11,0.868702708138165,"gpnc","child"
"stairs",11,1.21022373709504,"gpnc","child"
"increasing_lines",11,2.20414490372261,"gpnc","child"
"square_2",11,0.937179921218738,"gpnc","child"
"f_curly_2",11,1.18720780959799,"gpnc","child"
"radial_1",11,0.65805361746927,"gpnc","child"
"stairs_2",11,1.11623680085194,"gpnc","child"
"plus",11,1.66980025389941,"gpnc","child"
