"func.type","tpt","emd","js_div","hellinger","model","population"
"increasing_lines",6,1.44985654995086,0.730785455836435,0.813602574488882,"gpnc","adult"
"sine",6,1.96442314459688,0.738469450770329,0.81191758116964,"gpnc","adult"
"spiral_outward",6,1.92716529540314,0.920966048708852,0.923919460772596,"gpnc","adult"
"zigzag_3",6,2.23983539732847,0.95568446257974,0.965163535789531,"gpnc","adult"
"hexagon",7,0.987482388299864,0.669699867212111,0.751611097911804,"gpnc","adult"
"3_pts",7,0.0495480238668112,2.7920868683874e-05,0.0043992523169386,"gpnc","adult"
"stairs_2",7,1.05424974781578,0.503155516448474,0.652422536706383,"gpnc","adult"
"alternating_diff_2",7,1.11056688217353,0.226834598049441,0.445082235418927,"gpnc","adult"
"hourglass_1",7,0.0347023644428038,5.51197851875912e-05,0.00618115004495833,"gpnc","adult"
"square_spiral",7,0.764498505739852,0.591354929636768,0.705887764104639,"gpnc","adult"
"alternating_diff_1",7,0.424232539504622,0.162807583872483,0.350834718706981,"gpnc","adult"
"triangle_1",7,0.0289483517425268,6.48952735805959e-06,0.00212089699319068,"gpnc","adult"
"plus",7,1.06186413338955,0.623548245904616,0.728106139340216,"gpnc","adult"
"zigzag_1",7,0.659603165795179,0.449074113291048,0.601213218891182,"gpnc","adult"
"f_curly_2",7,2.41939709890642,0.87815905099919,0.901280214978194,"gpnc","adult"
"zigzag_widening",7,0.558191779251173,0.193303853036705,0.397002206597348,"gpnc","adult"
"square_2",7,0.956072689353287,0.649735459312822,0.741152834609512,"gpnc","adult"
"radial_1",7,0.880209199411524,0.591857274992653,0.704477487594193,"gpnc","adult"
"zigzag_2",7,1.26161733842668,0.608665400264178,0.725723768493256,"gpnc","adult"
"line",7,0.699258412823102,0.257884041553483,0.456680692268611,"gpnc","adult"
"stairs",7,0.912026786818821,0.533467104547797,0.668532947239738,"gpnc","adult"
"increasing_lines",7,0.77408637078288,0.327220198514055,0.518560464104536,"gpnc","adult"
"sine",7,1.04678476816778,0.337920100087984,0.54130767589622,"gpnc","adult"
"spiral_outward",7,0.482877056716406,0.194936568953147,0.379854721680158,"gpnc","adult"
"zigzag_3",7,0.380434380503757,0.114215109255011,0.300085936550958,"gpnc","adult"
"hexagon",8,0.848679326673019,0.622932131178098,0.7195509986699,"gpnc","adult"
"3_pts",8,0.0459020284735063,3.16969992493834e-05,0.00468730813397519,"gpnc","adult"
"stairs_2",8,0.853246175512087,0.523154217161446,0.659088648767072,"gpnc","adult"
"alternating_diff_2",8,0.68095614942525,0.113160524541035,0.310977129661223,"gpnc","adult"
"hourglass_1",8,0.0331989493540842,1.65985887765524e-06,0.0010726262276262,"gpnc","adult"
