"","seq_id","tpt","true_x","true_y","in_kids"
"239","plus",11,-1.99873430699706,-0.0711419006844426,TRUE
"240","zigzag_widening",11,-11.4316958241049,-3.91360838423338,TRUE
"241","3_pts",11,2,0,TRUE
"242","square_spiral",11,1,2,TRUE
"243","f_curly_2",11,-2.37243342890271,-1.82401755719137,TRUE
"244","hourglass_1",11,1,1,TRUE
"245","increasing_lines",11,1,4,TRUE
"246","zigzag_1",11,-4.27234260459456,-0.566287734083379,TRUE
"247","zigzag_2",11,-3.90690748663558,1.81924902629574,TRUE
"248","zigzag_3",11,-7.41465962852574,3.16588417240913,TRUE
"249","stairs",11,-12.7921723230259,13.1226655457506,TRUE
"250","stairs_2",11,8.35390698521027,5.49656602638911,TRUE
"251","alternating_diff_1",11,5,0,TRUE
"252","alternating_diff_2",11,11,-2,TRUE
"253","sine",12,12,-1.6097187540013,TRUE
"254","line",12,12,12,FALSE
"255","spiral_outward",12,4.09416111304676,0.325491450386971,TRUE
"256","triangle_1",12,1.16573417585641e-15,0,TRUE
"257","square_2",12,-5.51091059616309e-16,0,TRUE
"258","hexagon",12,2.16493489801906e-15,-6.66133814775094e-16,TRUE
"259","radial_1",12,0,0,TRUE
"260","plus",12,0,0,TRUE
"261","zigzag_widening",12,-6.66810158689434,-10.4180814561443,TRUE
"262","3_pts",12,0,0,TRUE
"263","square_spiral",12,6.66133814775094e-16,2,TRUE
"264","f_curly_2",12,-3.75968791285882,-2.34971215984288,TRUE
"265","hourglass_1",12,0,0,TRUE
"266","increasing_lines",12,2,4,TRUE
"267","zigzag_1",12,-4.57590550712744,0.386523666040387,TRUE
"268","zigzag_2",12,-4.48177486068024,1.00100242394471,TRUE
"269","zigzag_3",12,-8.40798507605369,3.0505387984516,TRUE
"270","stairs",12,-14.7701804100204,13.4184425018925,TRUE
"271","stairs_2",12,8.47692525921325,7.49277906718945,TRUE
"272","alternating_diff_1",12,6,0,TRUE
"273","alternating_diff_2",12,12,0,TRUE
"274","sine",13,13,1.26050111047992,TRUE
"275","line",13,13,13,FALSE
"276","spiral_outward",13,4.7894493503904,2.46536861205107,TRUE
"277","triangle_1",13,1,2.57299623948262e-15,TRUE
"278","square_2",13,1,-2.44929359829471e-16,TRUE
"279","hexagon",13,1,6.20364304966215e-16,TRUE
"280","radial_1",13,-0.949595443096897,0.313478060555453,TRUE
"281","plus",13,0.0355709503422217,-0.999367153498528,TRUE
"282","zigzag_widening",13,-13.2294034265811,-4.92269082685112,TRUE
"283","3_pts",13,1,0,TRUE
"284","square_spiral",13,-0.999999999999999,2,TRUE
"285","f_curly_2",13,-4.10665974582884,-3.76588184681811,TRUE
"286","hourglass_1",13,1,0,TRUE
"287","increasing_lines",13,3,4,TRUE
"288","zigzag_1",13,-5.03499352244914,-0.501867123076648,TRUE
"289","zigzag_2",13,-4.65386996341562,1.98608276361986,TRUE
"290","zigzag_3",13,-8.52333045001121,4.04386424597955,TRUE
"291","stairs",13,-15.2538690580293,15.3590726293994,TRUE
"292","stairs_2",13,9.47503177961342,7.43126993018796,TRUE
"293","alternating_diff_1",13,6,1,TRUE
"294","alternating_diff_2",13,13,0,TRUE
"295","sine",14,14,2.97182206708461,TRUE
"296","line",14,14,14,FALSE
"297","spiral_outward",14,4.0555339887499,4.72412783825206,TRUE
"298","triangle_1",14,0.499999999999998,0.866025403784439,TRUE
"299","square_2",14,2,-4.89858719658941e-16,TRUE
"300","hexagon",14,1.5,0.86602540378444,TRUE
"301","radial_1",14,0,0,TRUE
"302","plus",14,0.0711419006844434,-1.99873430699706,TRUE
"303","zigzag_widening",14,-7.77945185137673,-12.1544283655017,TRUE
"304","3_pts",14,2,0,TRUE
"305","square_spiral",14,-2,2,TRUE
"306","f_curly_2",14,-3.28056003678854,-4.47562600546816,TRUE
"307","hourglass_1",14,0,1,TRUE
"308","increasing_lines",14,4,4,TRUE
"309","zigzag_1",14,-5.49408153777083,-1.39025791219368,TRUE
"310","zigzag_2",14,-4.825965066151,2.971163103295,TRUE
"311","zigzag_3",14,-8.63867582396873,5.0371896935075,TRUE
"312","stairs",14,-17.2318771450238,15.6548495855413,TRUE
"313","stairs_2",14,10.4731383000136,7.36976079318647,TRUE
"314","alternating_diff_1",14,7,1,TRUE
"315","alternating_diff_2",14,14,0,TRUE
"316","sine",15,15,1.95086352047135,TRUE
"317","line",15,15,15,FALSE
"318","spiral_outward",15,2.03299150281253,6.19359096898324,TRUE
"319","triangle_1",15,2.05391259555654e-15,-1.66533453693773e-15,TRUE
"320","square_2",15,3,-7.34788079488412e-16,TRUE
"321","hexagon",15,0.999999999999999,1.73205080756888,TRUE
"322","radial_1",15,-0.97911280731758,-0.203317757578349,TRUE
"323","plus",15,0,0,TRUE
"324","zigzag_widening",15,-15.0271110290573,-5.93177326946886,TRUE
"325","3_pts",15,0,0,TRUE
"326","square_spiral",15,-3,2,TRUE
"327","f_curly_2",15,-2.75495159896362,-3.84939154689885,TRUE
"328","hourglass_1",15,1,1,TRUE
"329","increasing_lines",15,0,5,TRUE
"330","zigzag_1",15,-5.79764444030371,-0.437446512069917,TRUE
"331","zigzag_2",15,-4.99806016888638,3.95624344297015,TRUE
"332","zigzag_3",15,-8.75402119792626,6.03051514103545,TRUE
"333","stairs",15,-17.7155657930327,17.5954797130482,TRUE
"334","stairs_2",15,10.5961565740166,9.36597383398681,TRUE
"335","alternating_diff_1",15,7,0,TRUE
"336","alternating_diff_2",15,15,-2,TRUE
"337","sine",16,16,-0.863709949995196,TRUE
"338","line",16,16,16,FALSE
"339","spiral_outward",16,-0.592008497187472,6.19359096898324,TRUE
"340","triangle_1",16,1,4.21544602151591e-15,TRUE
"341","square_2",16,3,0.999999999999999,TRUE
"342","hexagon",16,-1.4432899320127e-15,1.73205080756887,TRUE
"343","radial_1",16,0,0,TRUE
"344","plus",16,0.999367153498528,0.0355709503422216,TRUE
"345","zigzag_widening",16,-8.89080211585912,-13.890775274859,TRUE
"346","3_pts",16,1,0,TRUE
"347","square_spiral",16,-3,1,TRUE
"348","f_curly_2",16,-3.59191793818661,-3.08705474927237,TRUE
"349","hourglass_1",16,0,0,TRUE
"350","increasing_lines",16,1,5,TRUE
"351","zigzag_1",16,-6.10120734283659,0.515364888053849,TRUE
"352","zigzag_2",16,-5.57292754293104,3.13799684061912,TRUE
"353","zigzag_3",16,-8.86936657188378,7.0238405885634,TRUE
"354","stairs",16,-19.6935738800272,17.8912566691901,TRUE
"355","stairs_2",16,11.5942630944167,9.30446469698532,TRUE
"356","alternating_diff_1",16,8,0,TRUE
"357","alternating_diff_2",16,16,0,TRUE
"358","sine",17,17,-2.88419247563867,TRUE
"359","line",17,17,17,FALSE
"360","spiral_outward",17,-2.81680523171858,4.57718152517894,TRUE
"361","triangle_1",17,0.499999999999999,0.866025403784441,TRUE
"362","square_2",17,3,2,TRUE
"363","hexagon",17,-0.5,0.866025403784435,TRUE
"364","radial_1",17,-0.746277685518548,-0.665634746762126,TRUE
"365","plus",17,1.99873430699706,0.0711419006844433,TRUE
"366","zigzag_widening",17,-16.8248186315334,-6.9408557120866,TRUE
"367","3_pts",17,2,0,TRUE
"368","square_spiral",17,-3,1.33226762955019e-15,TRUE
"369","f_curly_2",17,-4.98769360147212,-3.5748643467072,TRUE
"370","hourglass_1",17,1,0,TRUE
"371","increasing_lines",17,2,5,TRUE
"372","zigzag_1",17,-6.56029535815829,-0.373025901063186,TRUE
"373","zigzag_2",17,-6.1477949169757,2.31975023826809,TRUE
"374","zigzag_3",17,-9.86269201941173,6.90849521460587,TRUE
"375","stairs",17,-20.1772625280361,19.8318867966969,TRUE
"376","stairs_2",17,12.5923696148169,9.24295555998383,TRUE
"377","alternating_diff_1",17,8,1,TRUE
"378","alternating_diff_2",17,17,0,TRUE
"379","sine",18,18,-2.25296174031503,TRUE
"380","line",18,18,18,FALSE
"381","spiral_outward",18,-3.70522909054655,1.84289404083037,TRUE
"382","triangle_1",18,-1.66533453693773e-16,1.99840144432528e-15,TRUE
"383","square_2",18,3,3,TRUE
"384","hexagon",18,4.9960036108132e-16,-3.10862446895044e-15,TRUE
"385","radial_1",18,0,0,TRUE
"386","plus",18,0,0,TRUE
"387","zigzag_widening",18,-10.0021523803415,-15.6271221842164,TRUE
"388","3_pts",18,0,0,TRUE
"389","square_spiral",18,-3,-0.999999999999999,TRUE
