"r_id","monkey_name","func_id","game_n","min_distance","max_distance","correct_distance","Current_time","screen_w","screen_h","n","x_curr","y_curr","x_next","y_next","x_pred","y_pred","correct","RT","total_correct","guess_number","func.type","mode","min_x","min_y","max_x","max_y"
24452831,"Monkey 2","line",37,0.6,2000,1.60105230412542,"Mon Apr 15 12:47:00 2024",1536,864,8,16.9,7,15.6,8,14.867894354813,7.93803869923242,1,0.0852682590484619,4,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
24452831,"Monkey 2","line",37,0.6,2000,1.60105230412542,"Mon Apr 15 12:47:01 2024",1536,864,9,15.6,8,14.3,9,14.6980857771027,9.12669874320432,1,0.166675329208374,5,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
24452831,"Monkey 2","line",37,0.6,2000,1.60105230412542,"Mon Apr 15 12:47:04 2024",1536,864,10,14.3,9,13,10,15.9837792940519,9.44205753038054,0,0.872025728225708,5,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
24452831,"Monkey 2","line",37,0.6,2000,1.60105230412542,"Mon Apr 15 12:47:12 2024",1536,864,11,13,10,11.7,11,11.1078472769427,10.4609089966422,1,6.91610026359558,6,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
24452831,"Monkey 2","line",37,0.6,2000,1.60105230412542,"Mon Apr 15 12:47:15 2024",1536,864,12,11.7,11,10.4,12,10.4528713343459,12.765453979853,1,1.28082323074341,7,10,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
24452831,"Monkey 2","line",37,0.6,2000,1.60105230412542,"Mon Apr 15 12:47:17 2024",1536,864,13,10.4,12,9.1,13,10.2102876519027,12.619903770387,1,0.456682443618774,8,11,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
24452831,"Monkey 2","line",37,0.6,2000,1.60105230412542,"Mon Apr 15 12:47:19 2024",1536,864,14,9.1,13,7.8,14,10.7439717532778,12.9110041893189,0,0.0429344177246093,8,12,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:28:39 2024",1536,864,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:28:41 2024",1536,864,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
15804927,"Monkey 1","line",21,0.6,2000,1.60105230412542,"Mon Apr 22 14:28:42 2024",1536,864,3,23.4,2,22.1,3,20.8839696794055,2.74674789494697,1,0.0836336612701416,1,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
