"fn_x","fn_y","particle","pred_x","pred_y","score","sd_x","sd_y","seq_id","tpt","true_x","true_y"
"Constant(0.9422516557304552, 1)","Linear(0.5367764383668057, 2, 1)",1,22.7323158037695,5.25678082649393,8.44495848469276,1.10613236421274,0.283669958324209,"line",5,19.5,5
"Linear(0.1194205830167277, 2, 1)","Linear(0.5019924454303826, 1, 1)",2,21.0572106365725,4.99171050365,11.7971612357236,1.2163096827812,0.230478601849794,"line",5,19.5,5
"SquaredExponential(0.45777005200577275, 3, 1)","SquaredExponential(0.5072439954847769, 2, 1)",3,19.5202864069547,4.89638543181545,9.2123722704818,0.725260696239643,0.706190476220271,"line",5,19.5,5
"Linear(0.4899561570653435, 1, 1)","Linear(0.4733781188034262, 2, 1)",4,19.4170728792129,4.86831785111047,17.4863353065334,0.0443991322756946,0.581386026559884,"line",5,19.5,5
"Linear(0.4354676940428044, 2, 1)","Linear(0.8073052666217508, 3, 1)",5,19.9361255547209,3.92448826767266,10.7971488292566,0.523662349898356,0.593448528752191,"line",5,19.5,5
"Linear(0.5006123013494973, 2, 1)","Linear(0.5033525650018914, 1, 1)",6,19.495054230169,4.98015841853213,27.3280797191961,0.0149749693382283,0.0993388151789947,"line",5,19.5,5
"Linear(0.5038630424539333, 1, 1)","Linear(0.6620808270399718, 3, 1)",7,19.5306866599637,4.30415477628599,18.3879912907111,0.0417018937440825,0.727895210450395,"line",5,19.5,5
"Linear(0.5469903729055827, 1, 1)","Linear(0.4961228618730982, 1, 1)",8,19.8317386898101,5.0242289375875,22.2185763258803,0.392594456618794,0.011803302471606,"line",5,19.5,5
"SquaredExponential(0.6078160174341567, 1, 1)","SquaredExponential(0.9008124429466248, 3, 1)",9,19.4645558399139,4.94428867854315,11.3343612409806,0.354932058286612,0.388819648310038,"line",5,19.5,5
"Linear(0.5157981177317366, 3, 1)","SquaredExponential(0.502854454637359, 1, 1)",10,19.622085104735,4.92732908845365,15.62767498803,0.0747606630375467,0.647640840755214,"line",5,19.5,5
"SquaredExponential(0.7992905900171621, 3, 1)","Linear(0.4965753213277602, 1, 1)",11,19.4693228069254,5.02149223344793,20.056065947824,0.223155511854405,0.0402358038319128,"line",5,19.5,5
