"func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sd_x","sd_y"
"move_s(round(int(1)))",-2.4666524435991,0.715909336771878,11,23.4811273436178,2.09742856146715,74.4357203593057,60.5797137501568,-30.788999376911,"line",45.5292200515379,59.7829146106797,2,23.4,2,0.0292680104241117,0.028553983118633
"move_y(real(0.435502789859899))",1.19534132044303,2.43381000516063,12,23.4942969292107,1.71427768349206,111.747141302343,92.8239032507426,-27.6538236943342,"line",74.7216398201809,88.3366827262755,2,23.4,2,0.0194710489755556,0.0280301888861521
"repeat(move(), int(7))",1.53088361059486,0.95217535083377,13,23.5434724912269,2.04942844875162,141.49026878015,177.371600379669,-33.0155113148426,"line",127.415102837973,57.0287291570116,2,23.4,2,0.0151357232549224,0.0168777199765242
"move_s(round(negative(real(0.1054032900105444))))",3.64149412055567,0.450800019137653,14,23.3131404973702,1.87556879796248,127.418929736313,82.5549888249462,-31.2809130987504,"line",107.170537142376,102.435036597886,2,23.4,2,0.0152023059998984,0.0197929462414699
"move_t(real(-2.572643996962309))",0.00599586798817,0.848721992220516,15,23.8341768552968,2.08997034184798,73.5613593680476,97.8184660988955,-28.86575059187,"line",115.325814969096,111.561109679604,2,23.4,2,0.0336077296211838,0.016778506604246
"move_ts(real(1.6187642020366906), real(1.1223213339999472))",2.22861258887028,2.82399469484191,16,23.1795678376774,2.03760491770055,104.088827323141,114.512217189281,-32.1825575355802,"line",55.6790746284824,134.566498409812,2,23.4,2,0.0298743382720807,0.0133849264587781
"repeat(repeat(move_t(real(1.5819369987696357)), round(real(4.606067161018553))), round(round(real(1.5307788485006495))))",2.00472771601039,0.936875388010372,17,23.4829959154748,1.93808823332518,80.3973406786124,49.4401548048136,-44.0950593931026,"line",78.5127195683699,107.357499797405,2,23.4,2,0.0216113655152682,0.0228522154622986
"move_ts(real(1.6333051782907737), int(1))",-0.436899092186678,0.290398397123967,18,23.3245175026285,1.8933352670888,84.1775945875927,69.0422531674735,-30.1793879088109,"line",112.273657612674,133.338185390415,2,23.4,2,0.017567796899664,0.0182651112649685
"move_ts(real(-2.5281106673329967), negative(real(-0.9013998242473598)))",-1.39881832399716,0.305280084267344,19,23.7017737271915,2.09051709218923,118.248501524137,53.8603877202639,-36.0511829797478,"line",70.745951829975,122.277650892653,2,23.4,2,0.0309580981426328,0.020979757861186
"repeat(move_ts(real(-4.370714989193918), round(real(-0.7178583304271672))), round(real(-4.534696094859259)))",3.62391673172323,0.187318221069456,20,23.3301861814556,1.90200338276799,106.792030583368,138.993985717075,-41.3798490675624,"line",154.630642958974,90.0829418277743,2,23.4,2,0.0133447742271018,0.016329787186841
"move()",-2.362697724944,1.03454420337729,1,21.9712279689753,2.91524219738618,133.11509593965,68.4021695278412,-21.806043062783,"line",108.623692234501,129.779866379944,3,22.1,3,0.018319538280117,0.0188583329879652
"move()",-2.48054526342594,0.99492493167506,2,22.2114274752748,3.11806116575838,100.516837726044,129.409209948327,-20.5173479350387,"line",84.3438645338745,96.9310689717759,3,22.1,3,0.0214256344702708,0.0188305155597055
"move()",1.54544953229324,1.06928260944821,3,22.0746102992764,3.14847498674191,94.1582545122252,64.5268464228303,-20.6698337371906,"line",73.5528975201466,129.291373291929,3,22.1,3,0.0197952040907396,0.0221168869157116
"move()",-2.42285907594337,0.899144227243878,4,22.2388245062312,2.90908183954967,80.274626978312,136.336274830432,-23.266201401454,"line",173.624235562408,69.4460913779646,3,22.1,3,0.0173856736507245,0.0199354141369403
"move_s(round(mod(int(15), round(real(-1.2518167763203503)))))",-2.4481268354512,5.03093881134006,5,22.1497127652185,3.06149980242223,84.9217884541354,111.067982095577,-33.8327879382423,"line",128.750742567116,91.1395494764539,3,22.1,3,0.0162227673296624,0.0174328578470587
"concat(continue(change_speed(int(6))), move_s(round(int(1))))",-2.47135607952078,1.12032570147264,6,22.1892688388453,3.10640411035439,70.0652742220554,170.340186678528,-39.9554584649362,"line",67.9245229165817,64.2346853891164,3,22.1,3,0.0259353894601284,0.0203871074088567
"move_xy(real(-0.7899303358335769), real(0.6247237729114576))",0.938760689625668,1.33873727654252,7,22.1044179198466,3.02462317056836,119.507818378892,74.4166073780446,-25.2575703804733,"line",68.9426889623347,105.703101206595,3,22.1,3,0.0179471308713913,0.0185594304812433
"move_s(round(real(-0.25146190768348475)))",3.58846785778093,2.61729487980043,8,22.0907934485807,2.98791609244955,101.016230744097,138.661088029863,-24.5744697720315,"line",101.450162201264,66.1904672947067,3,22.1,3,0.0161478352960099,0.017055848752238
"move()",-2.42497404895367,1.02055417389157,9,22.0854681304947,3.03620648271702,86.2359730065824,121.588681503469,-18.9522588436564,"line",103.964167290894,125.761936793206,3,22.1,3,0.0172972265912235,0.013596748775446
"move_ts(real(5.5970043075870235), round(negative(mod(round(real(-0.5565640902492002)), int(2)))))",1.437319908826,0.0765295672106114,10,22.0776645521219,2.97027262317609,56.2038905926459,75.3287886255507,-41.1815831513773,"line",58.5008437807922,142.250507676474,3,22.1,3,0.0285090702898042,0.0159829110673398
"move_y(real(0.6400306854654937))",2.26165497098377,0.936403054446664,11,21.9920888850941,3.04972837378423,91.7879956109354,89.5592219813349,-22.8122171942699,"line",124.466135156327,68.4265273308858,3,22.1,3,0.0180663951662958,0.0216390620105652
"move()",-2.39182637816941,1.01550277671758,12,22.0400851707521,2.96160444050729,69.9289064220903,125.741646826316,-19.4456401500265,"line",108.601651504635,112.994868844269,3,22.1,3,0.0195890240623194,0.0141633080027622
"move_t(real(1.6078214113508942))",-3.86390618078509,1.07539080589891,13,21.9604494671945,3.01911047009502,95.4692674631916,128.974931813121,-23.3800343769598,"line",75.5365527974938,117.81660743907,3,22.1,3,0.0249517705911035,0.0133645499484104
"move_x(real(-0.8079825546309597))",0.200326780249783,1.96177463881477,14,22.0748100796106,2.99584813850502,88.7252061055316,155.617951483156,-23.9970312922315,"line",68.7049167208599,139.351287850461,3,22.1,3,0.0210726276764636,0.0111033627531032
"move_ts(real(-6.481036822195939), int(1))",2.65477968031346,1.0454179248248,15,22.2062326770801,3.12468643573604,124.604120852845,121.732026781844,-31.4190057276468,"line",50.1932675341213,66.6613833988435,3,22.1,3,0.0253406772256829,0.0235873906011593
"move_y(real(0.628801583611752))",1.53937069274652,1.05665517229219,16,22.1011585605327,3.03131127739234,92.9329677884581,123.42040344718,-23.1156966933396,"line",154.503450294068,110.285035079294,3,22.1,3,0.0136436726621272,0.0143060133667251
"move_ts(real(-2.4098975149468114), int(1))",-1.18588172365235,6.45586171984571,17,22.0882611280368,2.9845512337003,128.53715018215,72.0656089949653,-28.4595865154802,"line",101.340457026559,92.1641660682362,3,22.1,3,0.0143470717580922,0.0200803671476466
"move_s(negative(int(1)))",3.6154128249054,1.2259386020578,18,22.0501648163638,2.9316356460644,89.2950121542324,113.140814398429,-26.0018780723218,"line",77.7789739957249,106.788552032379,3,22.1,3,0.0203450911971687,0.0162461321824225
"move_x(real(-0.6937595810526852))",1.69176915604459,1.25298766508115,19,22.262149685392,2.95656951171611,49.8028049306849,157.050223468884,-27.4710143635984,"line",58.1208540951474,147.44830693699,3,22.1,3,0.0368555087390591,0.0113176086108955
"move_s(round(negative(real(-1.6589062277598763))))",1.6184984705339,2.06470731889216,20,22.0456651254015,2.92508218415781,69.9686391689091,118.440718115217,-29.4177528616128,"line",99.6368423154994,141.299207708695,3,22.1,3,0.020282036903135,0.0141084597008384
"move_s(minus(round(real(0.13385395625072252)), int(1)))",3.5860875322806,2.22813390673751,1,20.7944964161714,3.99280430730866,89.2602990572723,81.6777068751105,-27.5409526207935,"line",128.432852069251,98.0532647574395,4,20.8,4,0.0152410403170085,0.0182099226282019
"move_s(round(mod(int(7), round(round(real(-2.116846628130262))))))",-2.42345598938487,0.360497888471491,2,20.80952560622,4.0122627321986,84.6228797813301,167.751675123934,-28.7221630589871,"line",70.4700518929477,92.5309035232048,4,20.8,4,0.0210612477712157,0.0131504489868668
"move()",-2.44133732754243,1.06763505781385,3,20.7531391475997,4.11899413006613,135.417260864558,73.0828929211374,-16.8761771395376,"line",66.7447797289833,105.350375302114,4,20.8,4,0.0184212844398739,0.0233078158959308
"move_s(minus(int(12), int(11)))",1.58630336212869,0.359364348693654,4,20.7941599059889,3.99236165225839,97.8390142149875,93.0354509643776,-27.1605772710105,"line",74.6163185842056,153.709607098543,4,20.8,4,0.0190232581771325,0.0136693819626754
"move_s(round(round(divide(negative(plus(int(4), round(negative(minus(real(-3.183386840949973), round(negative(int(3)))))))), int(14)))))",-0.396113519745555,6.42557111158162,5,20.7672529001908,3.95592110968962,141.966928699559,38.0247543256459,-66.908000385921,"line",101.004126306155,115.85800831475,4,20.8,4,0.0141613717893063,0.0250526137309297
"move_ts(real(-6.418068824250207), round(real(1.3686487668499012)))",-0.848620966341577,0.675718672650247,6,20.8010060040387,4.00130644582794,105.545366747146,119.738187871943,-23.7815367604115,"line",100.456579238389,116.228130315487,4,20.8,4,0.0158110917541446,0.0138147942374699
"move_ts(real(1.592759881328559), round(real(1.1589420605433187)))",2.21760119356009,0.0795302761795383,7,20.7841628263129,3.97906717458152,60.0014671865134,71.2991034975892,-24.7715435386462,"line",126.363927110826,145.043301050446,4,20.8,4,0.0188033765315474,0.0161845831255262
"move()",-2.46564242284539,0.901209926546225,8,20.9999721395738,3.98726952174864,93.5394941571416,102.408449647556,-19.6688164553618,"line",72.2084153289508,79.7467237259923,4,20.8,4,0.0346979717969294,0.0180636585165442
"repeat(move_s(int(1)), int(9))",-2.45092860683638,0.770439453555373,9,20.8543965320487,4.06699203400383,97.642619274757,127.593211694461,-25.2842780938487,"line",140.228966138079,87.7081772314962,4,20.8,4,0.0150232428175435,0.0176576739304849
"move_ts(real(5.591319268121025), int(1))",3.41075919542939,4.87585085214294,10,20.7863817343008,3.98204228626944,174.574104627244,131.044569117663,-26.1655065334677,"line",81.9067776421397,60.2615884745681,4,20.8,4,0.0137142122449678,0.0184444210060008
"move()",1.61022704574105,1.00686903511747,11,20.7485788063782,3.94907486025214,91.680052672427,179.313623538232,-17.1531252869484,"line",134.532327521421,78.3769222536107,4,20.8,4,0.0156476514043905,0.0153788867830448
"move()",-2.37758090988524,1.02371532200842,12,20.7077407438315,3.93846443534002,57.1742159348345,109.859943965845,-17.2177516021326,"line",136.561542437165,98.5666735385325,4,20.8,4,0.0208149493242232,0.0173624770807695
"move()",1.54710352427523,0.989539871966168,13,20.8706952893503,4.05963614696822,129.951880231749,62.699330440386,-16.0905760279409,"line",92.4083845269302,81.1573115286659,4,20.8,4,0.0173279426210585,0.0241575809750589
"move_ts(times(int(11), plus(real(-1.856364652966489), int(10))), int(1))",-1.77186551467278,2.55668993332326,14,20.8040670808397,4.00526507401612,78.4664417490202,97.2131837343041,-38.3828964888786,"line",98.6725715485567,123.867701972307,4,20.8,4,0.0185061830087149,0.0148678026228839
"move_s(negative(round(real(1.9345085967022688))))",3.5648133286976,0.841226773785828,15,20.8283960974376,4.03586848344181,123.301707513802,103.256831027771,-23.1776233104985,"line",96.8227598326617,137.754781355121,4,20.8,4,0.0153031697599777,0.0141752069700993
"move()",1.57263791680111,0.954381360769145,16,20.8743460219531,3.97362318126445,143.002665578622,142.300846398575,-16.1847007738095,"line",83.211406162135,64.461208580371,4,20.8,4,0.0178866249262114,0.0173898907346556
"move_s(int(1))",-2.41242227055644,1.73404965404925,17,20.7921760423531,3.98974567228392,92.2179596632719,99.2764842569291,-17.2199284090119,"line",96.4701543554164,91.0764102154179,4,20.8,4,0.0172823960084106,0.017157860520187
"move_s(negative(real(0.9742690328063515)))",-0.402363880978606,0.342356137579228,18,20.8107519900201,3.94402752483744,76.5337145819773,75.9220177571516,-20.944113660949,"line",80.8475810197943,88.7559949409303,4,20.8,4,0.0207106160698559,0.0210862372543766
"move_s(int(1))",1.56111821187332,1.00823490465119,19,20.8344299500534,4.04323173297121,105.546691174337,83.6175889769898,-17.6022556037161,"line",74.2016397012771,85.6229894953183,4,20.8,4,0.0189778054575812,0.0200357059253596
"move()",-2.40082684732653,1.02915431096105,20,20.7357187683955,3.9939181775741,124.268234480127,101.142507693013,-14.9996283688791,"line",90.4644596036472,57.0367563703676,4,20.8,4,0.0174005242816691,0.0213376938100096
"move_s(real(-0.9836795447770944))",-0.438217717377564,0.728451906105685,1,19.5540148512774,5.02490656212618,111.585820937715,118.962048978089,-12.8893490262997,"line",117.092058132126,70.0601323669654,5,19.5,5,0.0158562525115111,0.0181937956595632
"move_s(mod(int(5), round(int(4))))",-2.40407253963826,0.198486606728801,2,19.4793076666509,4.97250797458576,100.080381573926,131.198050351556,-19.6955993131832,"line",118.170551389296,69.1825290074563,5,19.5,5,0.0151919325262858,0.0175862160842766
"move_t(real(1.589180579206969))",-3.29790476669087,0.971660255864689,3,19.5268221570142,4.95849403035952,81.17839089096,131.3582717961,-12.8388637808389,"line",79.6333820559211,94.5101940880988,5,19.5,5,0.0205803109276695,0.0157444978341698
"move()",1.58729551540863,1.03579138819543,4,19.4458217991513,5.02577045286406,117.539836428706,164.449303292684,-10.8202658767692,"line",82.1625363669013,68.5302583361948,5,19.5,5,0.0184845102100556,0.0158352644539088
"move_s(real(-1.018732397327483))",3.6085620211786,1.48738519200905,5,19.4351719275334,4.96383015024317,130.934479270896,112.09918068639,-15.2169143684678,"line",85.399944014959,47.5788656563821,5,19.5,5,0.0181998828211359,0.0231685913362823
"repeat(move_s(mod(int(1), round(round(negative(int(7)))))), int(3))",-2.40781975356213,3.50535977930597,6,19.4850548008603,4.98026482302462,73.8008252119629,117.532846298934,-34.3266861092297,"line",169.96428206359,78.4738970680674,5,19.5,5,0.0146477711665912,0.0171489093739919
"move_ts(real(1.5921823452659696), mod(int(9), int(8)))",0.848919688477046,2.09207019912571,7,19.4850515690995,4.98026048786658,167.45027951884,114.990818979522,-23.2582759857165,"line",64.5766905458247,72.605246307365,5,19.5,5,0.0157481883666488,0.0180001373206696
"move_s(round(int(1)))",1.57589643942423,0.266234871096585,8,19.5105559497991,5.01357488199016,92.7790978351494,65.5605764380165,-14.4799954761681,"line",90.9760680564913,89.6538886470267,5,19.5,5,0.017726711479341,0.0212530423078306
"move()",1.58254014530733,1.03570963471441,9,19.4536279984865,5.03577531209954,86.0674099536587,77.8031993511181,-10.9345389998953,"line",113.618611150462,56.3391454173005,5,19.5,5,0.0175363125466597,0.025229391047998
"move_s(int(1))",-2.4098428841582,0.482779631220328,10,19.4881766447427,4.98443866472291,156.559409567608,154.198063547527,-13.7398287010815,"line",68.8463351887894,120.791830688727,5,19.5,5,0.0156993914157271,0.0120836521764171
"move_s(negative(int(1)))",3.58658622429598,3.18658636048998,11,19.4937191099109,4.99178134494856,86.885126733071,110.688069893445,-18.927761652725,"line",53.7056468083589,148.115109733935,5,19.5,5,0.0236051346117698,0.0127590183313335
"move_t(real(1.591199767188363))",-2.97291534765435,1.02150576488352,12,19.458319697515,5.00341372345137,93.997230794112,151.842747677199,-13.7576125915787,"line",57.9280354514036,121.238025343186,5,19.5,5,0.023141196191866,0.0119975409713197
"move_s(round(real(1.6113787845281808)))",1.58891066785123,3.17066948198894,13,19.490106606044,4.98700521603002,55.9398181080855,115.183741617008,-17.6594859447639,"line",147.780670802316,77.7273103832918,5,19.5,5,0.0179543595296286,0.0172383118145455
"repeat(move_x(real(-0.7916981250782094)), round(round(int(3))))",-3.4200670184992,0.777984726325474,14,19.5015185299093,5.00814741977932,108.904874967728,157.360136344246,-21.9375492783839,"line",56.3901462835747,93.4334921489028,5,19.5,5,0.0205694764646748,0.0134356375701817
"move_s(round(real(-0.4582549483597316)))",3.5933058503364,0.104993962503814,15,19.4833236563141,4.97793834467105,97.7927207746103,235.998894684511,-17.6034074316827,"line",119.326903730007,98.8243739700477,5,19.5,5,0.0152086715864234,0.0110772901982012
"move_s(mod(int(13), round(int(12))))",1.60883615436236,0.0384927162959077,16,19.459861037213,4.94553030645253,132.208343625272,106.991489992158,-22.5880298849445,"line",70.9721457494172,146.575602888216,5,19.5,5,0.0179717977976174,0.0144623669237144
"move_s(mod(int(1), round(mod(round(int(13)), int(14)))))",-2.43704346133435,1.52925033986964,17,19.5314227561575,5.03957288171869,117.583325134974,57.9259075279542,-29.5874832429128,"line",91.6254830212843,97.0075334991482,5,19.5,5,0.0162924030755296,0.0223757823114476
"move_s(real(-0.9714871021359995))",3.5797578751709,1.20975838020178,18,19.5413722418768,4.97705870169109,171.076088158103,96.7603231801122,-15.3651426339709,"line",84.6511098704201,156.905891655605,5,19.5,5,0.0148650700487809,0.0134749582013811
"move()",-2.40227478126777,0.954294343778528,19,19.5370550483514,4.92449610463886,121.71075417258,151.560009229365,-11.9235358680335,"line",98.6354724649869,103.539565868683,5,19.5,5,0.015713316020241,0.0166193781369916
