"func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sd_x","sd_y"
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.807754993294027,1.52948324386367,12,22.420848445273,2.89241330133556,14.9519154353498,8.43946535360898,-17.1305472235843,"line",67.2291864138053,66.539035850206,3,22.1,3,0.0643866605420902,0.0699337839286215
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.790343265191039,1.43026161147089,13,22.5891077170026,3.01130705923351,4.48093006504893,40.5006819836662,-19.9306530865386,"line",25.6826479517571,76.8460963247054,3,22.1,3,0.17738150833413,0.0292377627930019
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.20598241339761,1.7281406408757,14,21.5996673865106,2.81921988186195,15.111380292188,18.9154706931338,-21.0040683143535,"line",75.2557614542378,112.818405691068,3,22.1,3,0.0749480165844023,0.0391994587708656
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.794479215096281,1.55708021739222,15,22.3998082232928,2.83518676969232,20.5676506534687,13.0533969454406,-17.3567749612433,"line",76.8804604282564,67.0888089779855,3,22.1,3,0.0532304607106387,0.0585279984959606
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.19442058674864,3.65795686844191,16,21.7170193802244,3.00261621810712,8.54977068683066,21.4509564024235,-17.6225671243448,"line",61.4254063863915,57.4152825447168,3,22.1,3,0.085963126788797,0.0463341735344907
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.921243104938777,1.48626541010796,17,22.3548931247507,3.09120330296197,25.3623378645916,25.726156956672,-17.1651364421767,"line",41.5632205745585,40.1167182055079,3,22.1,3,0.06339033906324,0.0523963426664021
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.981694400468429,5.65251945660737,18,22.0238466960014,2.8358345314082,13.0281626988732,10.5407168644045,-18.594194496871,"line",78.5668840514815,73.7238358139893,3,22.1,3,0.0516515493417879,0.061448507860556
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.952997989175292,5.57451533287866,19,22.1732608379287,2.96859843509668,26.0078638809028,21.5063850444245,-19.2848013440075,"line",108.922940666201,48.208619364041,3,22.1,3,0.0314604623347265,0.0506147392416922
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.12585210817748,7.53899284203459,20,22.0168274601044,3.22332510511336,15.9551525201592,22.9568763132484,-20.9718305728821,"line",27.772517874076,81.186978992245,3,22.1,3,0.0781031388602115,0.0450839699221498
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.04512923288048,1.6321293153842,1,20.6641699752942,3.93630443513676,25.4648794893235,32.6155659606647,-16.4189167268163,"line",43.399425478517,75.00308742005,4,20.8,4,0.0528654348828099,0.0337423609930341
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.952277152933854,3.50402441951589,2,20.9886454398018,4.09739168894524,12.809213978152,42.9727409759435,-17.9684100266188,"line",74.649280930535,62.8588743905492,4,20.8,4,0.0569776937025049,0.0335974012715966
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.90204016946607,1.60139121240229,3,20.9011975592867,3.86698466264324,32.2542717054398,43.7935054997863,-17.2924568581683,"line",66.229299270903,71.1119516815348,4,20.8,4,0.0373209898497127,0.0331232724877911
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.12250186075186,1.75910841284622,4,20.3891952003037,3.68012865475499,7.35165068264795,14.0160571209556,-18.8463113851382,"line",76.9024052066439,79.0305254825553,4,20.8,4,0.0828448210420416,0.0606349920908199
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.941512690496071,1.47713428607452,5,21.0480031966165,4.13041711743637,10.402527995216,6.42583429405203,-17.2788553170141,"line",75.5045260976689,66.5310119710525,4,20.8,4,0.0646840119261948,0.0803170804765727
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.00497282403585,1.58916928424766,6,20.7831898966778,3.99137856848659,16.385813658965,39.9103994538218,-16.5009726589388,"line",34.9182225407506,46.4692766745965,4,20.8,4,0.0676640782206328,0.0377021512533352
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.00987255754991,1.6403460804988,7,20.7010454574989,3.88673712842084,12.6269636856017,57.4407565693511,-17.6365385775522,"line",53.5939007323791,65.1923491738918,4,20.8,4,0.0638870723303088,0.0300217024420405
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.30007833681395,1.57350443133457,8,20.4285847159715,4.32401618286954,7.22297971805487,14.6614613566148,-17.8818803109887,"line",65.5422390070868,56.0284854909114,4,20.8,4,0.087577919924156,0.0711209260700384
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.17412688142534,5.63994031299325,9,20.474164950502,4.03200013247974,15.5487290352828,10.1582112513233,-18.9447774148836,"line",61.5715855053955,68.8673618513707,4,20.8,4,0.0667956386054508,0.0616834172482309
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.913885280440093,1.53122398717346,10,20.9894418592257,4.0066338850722,12.9876854631663,35.4912115404943,-16.4649188492026,"line",69.9777796900121,75.1572220818097,4,20.8,4,0.058512496462404,0.0315563109953002
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.016096187478,1.67471389490783,11,20.6463326112823,3.81495126008633,9.7917135122081,35.2173502833448,-17.1564406746796,"line",66.0354623021553,65.1174772694937,4,20.8,4,0.0667114452630129,0.0409044121519145
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.10760637801728,1.48593783951455,12,20.8441480017755,4.31259511615566,16.4358604838501,10.7215114926692,-16.5800514961364,"line",56.782487512676,77.4592266832659,4,20.8,4,0.0535368053682001,0.0666576319750457
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.19747875332189,1.51762527368798,13,20.6733225251608,4.34978935901673,29.7771214246225,22.4405709321496,-19.1583964765272,"line",97.1965069815748,42.2850514699269,4,20.8,4,0.0329148718428656,0.0748066670854643
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.08529423566585,3.73546904107775,14,20.4714557951804,3.71853795841722,9.81229583064158,25.4262252996383,-24.805263498276,"line",147.199454049036,28.6295421450842,4,20.8,4,0.0507759316388626,0.079021184172022
