"","X.1","X","r_id","monkey_name","func_id","game_n","min_distance","max_distance","correct_distance","Current_time","screen_w","screen_h","width","height","level","n","x_curr","y_curr","x_next","y_next","x_pred","y_pred","correct","attempt_number","dist_from_prev","dist_from_true","RT","total_correct","guess_number","func.type","mode","min_x","min_y","max_x","max_y"
"44",44,729,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:22 2024",1536,864,1536,864,NA,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"45",45,730,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:24 2024",1536,864,1536,864,NA,3,23.4,2,22.1,3,21.4661705172693,5.63349371602159,0,1,170,112,0.084451675415039,0,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"46",46,731,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:26 2024",1536,864,1536,864,NA,4,22.1,3,20.8,4,18.6279414326833,4.27502509433942,0,1,152,90,0.167195558547974,0,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"47",47,732,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:28 2024",1536,864,1536,864,NA,5,20.8,4,19.5,5,18.7977500103936,4.80870919571456,1,1,89,30,0.0854778289794921,1,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"48",48,733,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:51 2024",1536,864,1536,864,NA,6,19.5,5,18.2,6,16.4689466589384,3.98392467540752,0,1,132,110,21.3547561168671,1,4,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"49",49,734,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:53 2024",1536,864,1536,864,NA,7,18.2,6,16.9,7,15.5471286656541,7.18602928365836,1,1,120,56,0.128907680511475,2,5,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"50",50,735,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:26:58 2024",1536,864,1536,864,NA,8,16.9,7,15.6,8,15.1832531419892,8.05933054045404,1,1,83,17,3.6917097568512,3,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"51",51,736,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:27:00 2024",1536,864,1536,864,NA,9,15.6,8,14.3,9,13.0485167364887,8.44746443236323,1,1,107,56,0.994549989700317,4,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"52",52,737,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:27:02 2024",1536,864,1536,864,NA,10,14.3,9,13,10,12.4177991621362,10.4366506283978,1,1,98,30,0.867275476455688,5,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"53",53,738,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:27:05 2024",1536,864,1536,864,NA,11,13,10,11.7,11,12.6361244763351,11.3342102534378,1,1,57,41,1.20065426826477,6,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"54",54,739,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:27:07 2024",1536,864,1536,864,NA,12,11.7,11,10.4,12,9.4340198680843,11.3099518851935,1,1,94,49,1.28333234786987,7,10,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"55",55,740,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:27:11 2024",1536,864,1536,864,NA,13,10.4,12,9.1,13,9.19143618564105,10.89755962504,0,1,67,87,1.53067111968994,7,11,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"56",56,741,19112659,"BP22","example_line",17,0.6,2000,1.60105230412542,"Thu Apr 11 11:27:12 2024",1536,864,1536,864,NA,14,9.1,13,7.8,14,8.73052718899889,14.560573229933,1,1,66,45,0.0848395824432373,8,12,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"57",57,980,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:37 2024",1536,864,1536,864,NA,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"58",58,981,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:38 2024",1536,864,1536,864,NA,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"59",59,982,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:39 2024",1536,864,1536,864,NA,3,23.4,2,22.1,3,22.5335387200195,3.64430751998698,1,1,77,32,0.0853500366210937,1,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"60",60,983,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:42 2024",1536,864,1536,864,NA,4,22.1,3,20.8,4,20.9324864158941,2.52842258074805,1,1,52,61,1.74565148353577,2,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"61",61,984,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:46 2024",1536,864,1536,864,NA,5,20.8,4,19.5,5,20.2775104732974,3.42598220578806,0,1,32,72,1.04029703140259,2,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"62",62,985,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:47 2024",1536,864,1536,864,NA,6,19.5,5,18.2,6,17.8759320171092,5.87607739846483,1,1,76,14,0.124382257461548,3,4,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"63",63,986,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:50 2024",1536,864,1536,864,NA,7,18.2,6,16.9,7,17.1966977062681,5.51220187479997,1,1,46,63,1.20740699768066,4,5,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"64",64,987,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:52 2024",1536,864,1536,864,NA,8,16.9,7,15.6,8,15.1104780372562,8.88411506076107,1,1,107,42,1.24319863319397,5,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"65",65,988,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:54 2024",1536,864,1536,864,NA,9,15.6,8,14.3,9,16.8570805508476,8.13210564518701,0,1,52,111,0.0846393108367919,5,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"66",66,989,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:56 2024",1536,864,1536,864,NA,10,14.3,9,13,10,13.6549759425968,9.58760773984648,1,1,36,32,0.0425267219543457,6,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"67",67,990,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:58 2024",1536,864,1536,864,NA,11,13,10,11.7,11,14.5040188311481,9.22373221618162,0,1,70,137,0.252731800079346,6,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"68",68,991,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:34:59 2024",1536,864,1536,864,NA,12,11.7,11,10.4,12,11.1563640134313,11.4312437264151,1,1,29,39,0.0870642662048339,7,10,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"69",69,992,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:35:03 2024",1536,864,1536,864,NA,13,10.4,12,9.1,13,12.3450240574032,12.619903770387,0,1,84,135,1.08443188667297,7,11,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"70",70,993,26888753,"BP24","example_line",5,0.6,2000,1.60105230412542,"Tue Jan 23 12:35:05 2024",1536,864,1536,864,NA,14,9.1,13,7.8,14,7.66315898624861,16.0403336928368,0,1,139,84,0.24904727935791,7,12,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"71",71,1162,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:15 2024",1536,864,1536,864,NA,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"72",72,1163,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:17 2024",1536,864,1536,864,NA,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"73",73,1164,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:19 2024",1536,864,1536,864,NA,3,23.4,2,22.1,3,20.6899027334509,3.81411609769725,0,1,134,67,0.0427258014678955,0,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"74",74,1165,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:21 2024",1536,864,1536,864,NA,4,22.1,3,20.8,4,21.2478452030703,1.94622174288427,0,1,56,87,0.251225709915161,0,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"75",75,1166,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:23 2024",1536,864,1536,864,NA,5,20.8,4,19.5,5,21.296361939559,4.88148430044753,0,1,42,74,0.0427756309509277,0,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"76",76,1167,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:25 2024",1536,864,1536,864,NA,6,19.5,5,18.2,6,18.0214822265752,5.3423932970897,1,1,63,28,0.0841529369354248,1,4,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"77",77,1168,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:28 2024",1536,864,1536,864,NA,7,18.2,6,16.9,7,18.2398075407741,5.29387656060105,0,1,29,89,1.66005611419678,1,5,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"78",78,1169,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:30 2024",1536,864,1536,864,NA,8,16.9,7,15.6,8,14.8921527230573,7.69545501678917,1,1,88,32,0.125110864639282,2,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"79",79,1170,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:33 2024",1536,864,1536,864,NA,9,15.6,8,14.3,9,15.1832531419892,9.58760773984648,1,1,68,44,1.74375462532043,3,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"80",80,1171,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:37 2024",1536,864,1536,864,NA,10,14.3,9,13,10,12.1994738479373,8.37468932763026,0,1,90,75,2.10653162002563,3,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"81",81,1172,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:02:39 2024",1536,864,1536,864,NA,11,13,10,11.7,11,11.059330540454,11.0916265709946,1,1,92,27,0.167431831359863,4,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"82",82,1173,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:04:32 2024",1536,864,1536,864,NA,12,11.7,11,10.4,12,7.97851777342483,12.3045449832108,0,1,163,101,111.270300388336,4,10,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"83",83,1174,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:04:33 2024",1536,864,1536,864,NA,13,10.4,12,9.1,13,8.87607739846484,11.6495690406141,1,1,64,56,0.0835046768188476,5,11,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"84",84,1175,28788807,"BP22","example_line",52,0.6,2000,1.60105230412542,"Wed Jan 31 11:04:36 2024",1536,864,1536,864,NA,14,9.1,13,7.8,14,8.80330229373186,14.1481809697795,1,1,49,42,1.07915377616882,6,12,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"85",85,1232,24020622,"BP22","example_line",30,0.6,2000,1.60105230412542,"Thu Feb 15 10:59:59 2024",1536,864,1536,864,NA,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"86",86,1233,24020622,"BP22","example_line",30,0.6,2000,1.60105230412542,"Thu Feb 15 11:00:01 2024",1536,864,1536,864,NA,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
