Unnamed: 0,X.1,X,r_id,subj_id,func.name,game_n,min_distance,max_distance,correct_distance,Current_time,screen_w,screen_h,width,height,level,tpt,prev_x,prev_y,true_x,true_y,pred_x,pred_y,correct,attempt_number,dist_from_prev,dist_from_true,RT,total_correct,guess_number,func.type,mode,min_x,min_y,max_x,max_y,scale_by
50,50,735,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:26:58 2024,1536,864,1536,864,,8,0.6046674893557215,0.22812145115990534,15.6,8.0,0.55859375,0.2565515711771268,1.0,1.0,83.0,17.0,3.6917097568512,3.0,6.0,line,test,0,0,1,0.618343321732261,37.26085362328241
51,51,736,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:27:00 2024,1536,864,1536,864,,9,0.5697783262371476,0.25495926894342363,14.3,9.0,0.5013020833333349,0.2669682378437934,1.0,1.0,107.0,56.0,0.994549989700317,4.0,7.0,line,test,0,0,1,0.618343321732261,37.26085362328241
52,52,737,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:27:02 2024,1536,864,1536,864,,10,0.5348891631185739,0.2817970867269419,13.0,10.0,0.48437499999999983,0.32035365451045905,1.0,1.0,98.0,30.0,0.867275476455688,5.0,8.0,line,test,0,0,1,0.618343321732261,37.26085362328241
53,53,738,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:27:05 2024,1536,864,1536,864,,11,0.5000000000000002,0.30863490451046016,11.7,11.0,0.4902343749999993,0.34444219617712557,1.0,1.0,57.0,41.0,1.20065426826477,6.0,9.0,line,test,0,0,1,0.618343321732261,37.26085362328241
54,54,739,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:27:07 2024,1536,864,1536,864,,12,0.4651108368814264,0.33547272229397845,10.4,12.0,0.4042968750000001,0.3437911545104596,1.0,1.0,94.0,49.0,1.28333234786987,7.0,10.0,line,test,0,0,1,0.618343321732261,37.26085362328241
55,55,740,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:27:11 2024,1536,864,1536,864,,13,0.43022167376285264,0.36231054007749675,9.1,13.0,0.3977864583333333,0.3327234461771267,0.0,1.0,67.0,87.0,1.53067111968994,7.0,11.0,line,test,0,0,1,0.618343321732261,37.26085362328241
56,56,741,19112659,BP22,line,17,0.6,2000,1.60105230412542,Thu Apr 11 11:27:12 2024,1536,864,1536,864,,14,0.3953325106442789,0.389148357861015,7.8,14.0,0.3854166666666668,0.43103073784379337,1.0,1.0,66.0,45.0,0.0848395824432373,8.0,12.0,line,test,0,0,1,0.618343321732261,37.26085362328241
59,59,982,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:34:39 2024,1536,864,1536,864,,3,0.7791133049485902,0.09393236224231397,22.1,3.0,0.7558593749999996,0.13806198784379337,1.0,1.0,77.0,32.0,0.0853500366210937,1.0,1.0,line,test,0,0,1,0.618343321732261,37.26085362328241
60,60,983,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:34:42 2024,1536,864,1536,864,,4,0.7442241418300165,0.12077018002583224,20.8,4.0,0.712890625,0.1081140711771266,1.0,1.0,52.0,61.0,1.74565148353577,2.0,2.0,line,test,0,0,1,0.618343321732261,37.26085362328241
61,61,984,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:34:46 2024,1536,864,1536,864,,5,0.7093349787114428,0.14760799780935052,19.5,5.0,0.6953125000000017,0.13220261284379337,0.0,1.0,32.0,72.0,1.04029703140259,2.0,3.0,line,test,0,0,1,0.618343321732261,37.26085362328241
62,62,985,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:34:47 2024,1536,864,1536,864,,6,0.674445815592869,0.17444581559286879,18.2,6.0,0.6308593749999997,0.19795782117712662,1.0,1.0,76.0,14.0,0.124382257461548,3.0,4.0,line,test,0,0,1,0.618343321732261,37.26085362328241
63,63,986,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:34:50 2024,1536,864,1536,864,,7,0.6395566524742952,0.20128363337638708,16.9,7.0,0.6126302083333326,0.18819219617712685,1.0,1.0,46.0,63.0,1.20740699768066,4.0,5.0,line,test,0,0,1,0.618343321732261,37.26085362328241
64,64,987,26888753,BP24,line,5,0.6,2000,1.60105230412542,Tue Jan 23 12:34:52 2024,1536,864,1536,864,,8,0.6046674893557215,0.22812145115990534,15.6,8.0,0.5566406249999994,0.2786869878437934,1.0,1.0,107.0,42.0,1.24319863319397,5.0,6.0,line,test,0,0,1,0.618343321732261,37.26085362328241
