,tpt,func.type,x_next,y_next,next_is_repeat
63,0,spiral_inward,1.0,1.0,0
64,1,spiral_inward,5.0,1.0,0
65,2,spiral_inward,8.134940853202922,3.2776678526333334,0
66,3,spiral_inward,9.293754582108974,6.844129788740159,0
67,4,spiral_inward,8.17356797749979,10.29170966031009,0
68,5,spiral_inward,5.342008497187474,12.348958043333747,0
69,6,spiral_inward,1.9670084971874742,12.348958043333747,0
70,7,spiral_inward,-0.6622967345311053,10.43865597338321,0
71,8,spiral_inward,-1.6279748419528164,7.466604359960854,0
72,9,spiral_inward,-0.7009238588279747,4.613434811075393,0
73,10,spiral_inward,1.624999999999999,2.9235522107345324,0
74,11,spiral_inward,4.374999999999999,2.9235522107345315,0
75,12,spiral_inward,6.498669610234236,4.466488498002273,0
76,13,spiral_inward,7.271212096171605,6.844129788740156,0
77,14,spiral_inward,6.537296734531106,9.102889014941146,0
78,15,spiral_inward,4.717008497187474,10.42540583259921,0
79,16,spiral_inward,2.592008497187474,10.42540583259921,0
80,17,spiral_inward,0.9739745084375788,9.249835328014266,0
81,18,spiral_inward,0.3945676439845516,7.4666043599608525,0
82,19,spiral_inward,0.9353473841407088,5.802255456444334,0
83,20,spiral_inward,2.249999999999998,4.847104421469064,0
84,0,spiral_outward,1.0,1.0,0
85,1,spiral_outward,1.75,1.0,0
86,2,spiral_outward,2.457889870078079,1.514312095755914,0
87,3,spiral_outward,2.7669068644530266,2.4653686120510674,0
88,4,spiral_outward,2.419262745781211,3.5353071928831152,0
89,5,spiral_outward,1.4079915028125267,4.270038758248707,0
90,6,spiral_outward,0.03299150281252672,4.270038758248707,0
91,7,spiral_outward,-1.1805339887498947,3.3883608798099973,0
92,8,spiral_outward,-1.6826866046091844,1.842894040830373,0
93,9,spiral_outward,-1.1419068644530268,0.17854513731385402,0
94,10,spiral_outward,0.37499999999999956,-0.9235522107345335,0
95,11,spiral_outward,2.3749999999999996,-0.923552210734534,0
96,12,spiral_outward,4.094161113046763,0.325491450386971,0
97,13,spiral_outward,4.789449350390395,2.4653686120510665,0
98,14,spiral_outward,4.055533988749896,4.724127838252056,0
99,15,spiral_outward,2.0329915028125276,6.19359096898324,0
100,16,spiral_outward,-0.5920084971874724,6.193590968983241,0
101,17,spiral_outward,-2.8168052317185786,4.577181525178941,0
102,18,spiral_outward,-3.7052290905465535,1.8428940408303744,0
103,19,spiral_outward,-2.7781781074217125,-1.010275508055087,0
104,20,spiral_outward,-0.25000000000000266,-2.8471044214690666,0
105,0,triangle_1,0.0,0.0,0
106,1,triangle_1,1.0,0.0,0
107,2,triangle_1,0.5000000000000002,0.8660254037844387,0
108,3,triangle_1,-2.220446049250313e-16,3.3306690738754696e-16,1
109,4,triangle_1,0.9999999999999998,8.813754755807632e-17,1
110,5,triangle_1,0.5000000000000006,0.8660254037844393,1
111,6,triangle_1,-7.771561172376096e-16,1.4432899320127035e-15,1
112,7,triangle_1,0.9999999999999992,-8.229256270464883e-16,1
113,8,triangle_1,0.5000000000000018,0.8660254037844394,1
114,9,triangle_1,2.220446049250313e-16,1.6653345369377348e-15,1
115,10,triangle_1,1.0000000000000002,9.30546457449323e-16,1
116,11,triangle_1,0.4999999999999999,0.8660254037844394,1
117,12,triangle_1,1.1657341758564144e-15,0.0,1
118,13,triangle_1,1.000000000000001,2.5729962394826186e-15,1
119,14,triangle_1,0.4999999999999979,0.8660254037844394,1
120,15,triangle_1,2.0539125955565396e-15,-1.6653345369377348e-15,1
121,16,triangle_1,1.000000000000002,4.215446021515914e-15,1
122,17,triangle_1,0.499999999999999,0.8660254037844412,1
123,18,triangle_1,-1.6653345369377348e-16,1.9984014443252818e-15,1
124,19,triangle_1,0.9999999999999998,5.28825285348458e-16,1
125,20,triangle_1,0.5000000000000031,0.8660254037844412,1
126,0,triangle_2,0.0,0.0,0
127,1,triangle_2,1.0,0.0,0
128,2,triangle_2,2.0,0.0,0
129,3,triangle_2,3.0,0.0,0
130,4,triangle_2,2.5,0.8660254037844387,0
131,5,triangle_2,2.0,1.7320508075688774,0
132,6,triangle_2,1.5000000000000002,2.598076211353316,0
133,7,triangle_2,0.9999999999999998,1.7320508075688776,0
134,8,triangle_2,0.49999999999999933,0.8660254037844393,0
135,9,triangle_2,-1.1102230246251565e-15,8.881784197001252e-16,1
136,10,triangle_2,0.9999999999999989,6.432490598706545e-16,1
137,11,triangle_2,1.999999999999999,3.983197000411839e-16,1
138,12,triangle_2,2.999999999999999,1.5339034021171326e-16,1
139,13,triangle_2,2.5,0.8660254037844393,1
