"seq_id","tpt","true_x","true_y","in_kids"
"f_curly_2",4,-0.716337814536774,-1.95892427466314,TRUE
"hourglass_1",4,0,0,TRUE
"hourglass_2",4,1,1,FALSE
"3_lines_of_3",4,1,1,FALSE
"increasing_lines",4,1,2,TRUE
"zigzag_1",4,-1.52530183570915,0.128841222013462,TRUE
"zigzag_2",4,-1.0911526822508,2.13699441667441,TRUE
"zigzag_3",4,-3.97330179011179,-0.461381495830096,TRUE
"stairs",4,-4.92339347000679,4.47281416729751,TRUE
"stairs_2",4,3.11733783520348,1.81168562979587,TRUE
"growing_stairs_1",4,-1.01354298081254,-3.19730052169727,FALSE
"growing_stairs_2",4,0.770028134078942,2.72159083492117,FALSE
"alternating_diff_1",4,2,0,TRUE
"alternating_diff_2",4,4,0,TRUE
"alternating_diff_3",4,2,0,FALSE
"sine",5,5,-2.87677282398942,TRUE
"sine_line",5,5,2.12322717601058,FALSE
"line",5,5,5,FALSE
"spiral_inward",5,5.34200849718747,12.3489580433337,FALSE
"spiral_outward",5,1.40799150281253,4.27003875824871,TRUE
"triangle_1",5,0.500000000000001,0.866025403784439,TRUE
"triangle_2",5,2,1.73205080756888,FALSE
"square_1",5,1,-2.28847549044393e-17,FALSE
"square_2",5,3,2,TRUE
"hexagon",5,-0.5,0.866025403784439,TRUE
"octagon",5,0,2.4142135623731,FALSE
"star_octagon",5,0,0.414213562373095,FALSE
"star_hexagon",5,1.12348980185873,0.541044173064265,FALSE
"star_pentagon",5,0,3.33066907387547e-16,FALSE
"increasing_sine",5,5,1.18986844547083,FALSE
"radial_1",5,0.746277685518547,0.665634746762127,TRUE
"radial_2",5,0.943747035763095,-1.76333250763671,FALSE
"plus",5,1.99873430699706,0.0711419006844429,TRUE
"radial_increasing",5,0,0,FALSE
"spiky_circle_1",5,4.41941738241592,4.41941738241592,FALSE
"spiky_circle_2",5,2.65165042944955,2.65165042944955,FALSE
"oval",5,1.2940952255126,2.41481456572267,FALSE
"zigzag_widening",5,-6.03857301667643,-0.886361056380159,TRUE
"zigzag_increasing",5,4.98618878725002,-1.06673397710123,FALSE
"zigzag_increasing_widening",5,6.57038648264027,-4.22256100829082,FALSE
"quadratic",5,-5,1.875,FALSE
"cubic",5,-5,0.625,FALSE
"gold_star",5,-3.50718793617986,0.597065348020466,FALSE
"2_pts",5,1,0,FALSE
"3_pts",5,2,0,TRUE
"square_spiral",5,-2,-1,TRUE
"hexagon_spiral",5,-2.87928919503058,1.5727262301542,FALSE
"star_spiral",5,0.707106781186547,-0.807611844574883,FALSE
"triangle_spiral",5,-1,-1.73205080756888,FALSE
"f_curly_1",5,0.429440642660439,-1.07156131874234,FALSE
"f_curly_2",5,-0.250550581775501,-1.28317921654756,TRUE
"hourglass_1",5,1,0,TRUE
"hourglass_2",5,2,1,FALSE
"3_lines_of_3",5,2,1,FALSE
"increasing_lines",5,2,2,TRUE
"zigzag_1",5,-1.98438985103084,-0.759549567103573,TRUE
"zigzag_2",5,-1.66602005629546,1.31874781432338,TRUE
"zigzag_3",5,-4.08864716406932,0.531943951697852,TRUE
"stairs",5,-5.40708211801574,6.41344429480437,TRUE
"stairs_2",5,4.11544435560365,1.75017649279439,TRUE
"growing_stairs_1",5,0.0626686317038613,-4.24217781836174,FALSE
"growing_stairs_2",5,0.282137458868386,3.5944955771712,FALSE
"alternating_diff_1",5,2,1,TRUE
"alternating_diff_2",5,5,0,TRUE
"alternating_diff_3",5,3,1,FALSE
"sine",6,6,-0.838246494596778,TRUE
"sine_line",6,6,5.16175350540322,FALSE
"line",6,6,6,FALSE
"spiral_inward",6,1.96700849718747,12.3489580433337,FALSE
"spiral_outward",6,0.0329915028125267,4.27003875824871,TRUE
"triangle_1",6,-7.7715611723761e-16,1.4432899320127e-15,TRUE
"triangle_2",6,1.5,2.59807621135332,FALSE
"square_1",6,1,1,FALSE
"square_2",6,3,3,TRUE
"hexagon",6,-8.88178419700125e-16,0,TRUE
"octagon",6,-0.707106781186548,1.70710678118655,FALSE
"star_octagon",6,0.707106781186547,-0.292893218813453,FALSE
"star_hexagon",6,0.222520933956315,0.974927912181824,FALSE
"star_pentagon",6,1,-1.56791812271394e-16,FALSE
"increasing_sine",6,6,0.321684054249982,FALSE
"radial_1",6,0,0,TRUE
"radial_2",6,0,0,FALSE
"plus",6,0,0,TRUE
"radial_increasing",6,0.773636366340726,0.633629838845298,FALSE
"spiky_circle_1",6,2.93892626146237,4.04508497187474,FALSE
"spiky_circle_2",6,2.93892626146237,4.04508497187474,FALSE
"oval",6,3.06161699786838e-16,2.5,FALSE
"zigzag_widening",6,-3.33405079344717,-5.20904072807214,TRUE
"zigzag_increasing",6,5.5071253751882,-2.38150584755911,FALSE
"zigzag_increasing_widening",6,1.73171347734483,-5.83105208623472,FALSE
"quadratic",6,-4,1.2,FALSE
"cubic",6,-4,0.32,FALSE
"gold_star",6,-4.45262912736545,0.271272539613678,FALSE
"2_pts",6,0,0,FALSE
"3_pts",6,0,0,TRUE
"square_spiral",6,-1,-1,TRUE
"hexagon_spiral",6,-2.87928919503058,0.572726230154203,FALSE
"star_spiral",6,5.65685424949238,4.14213562373095,FALSE
"triangle_spiral",6,3,-1.73205080756888,FALSE
"f_curly_1",6,1.28920420056922,-1.5775301176651,FALSE
"f_curly_2",6,-1.15336468216497,-0.562000023225261,TRUE
"hourglass_1",6,0,1,TRUE
"hourglass_2",6,0,0,FALSE
"3_lines_of_3",6,0,2,FALSE
"increasing_lines",6,0,3,TRUE
